number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
0,-15.939431258499734,2025-11-22 07:14:37.116299,2025-11-22 08:21:54.062040,0 days 01:07:16.945741,0.009590168808480766,0.0020595290310060146,96,1,COMPLETE
1,-0.8526391827895471,2025-11-22 07:14:37.116801,2025-11-22 08:20:17.443996,0 days 01:05:40.327195,0.001275810456898667,0.03638448250551023,184,1,COMPLETE
2,-0.2044968586693801,2025-11-22 07:14:37.117488,2025-11-22 08:21:23.177189,0 days 01:06:46.059701,0.28434872077358736,0.009926412252051202,112,1,COMPLETE
3,-5.0859700321862835,2025-11-22 07:14:37.118196,2025-11-22 08:23:13.967745,0 days 01:08:36.849549,0.06268963991991491,0.0006098656724578265,29,1,COMPLETE
4,-2.4108784861032,2025-11-22 07:14:37.119282,2025-11-22 08:23:30.195572,0 days 01:08:53.076290,0.6270094633268607,0.0027705923868139187,9,1,COMPLETE
5,-20.57609221142264,2025-11-22 07:14:37.119904,2025-11-22 08:20:40.371020,0 days 01:06:03.251116,0.031598876988581936,0.002505940019693453,167,1,COMPLETE
6,-11.090558517839046,2025-11-22 07:14:37.120630,2025-11-22 08:20:45.828363,0 days 01:06:08.707733,0.0010677219855629893,0.017069305947795627,173,1,COMPLETE
7,-4.966428575064255,2025-11-22 07:14:37.121683,2025-11-22 08:23:04.547866,0 days 01:08:27.426183,0.028339172893374658,0.001623836682835818,26,1,COMPLETE
8,-7.4014882430423805,2025-11-22 07:14:37.123241,2025-11-22 08:23:07.465482,0 days 01:08:30.342241,0.06350029766532088,0.0026132821147846065,37,1,COMPLETE
9,-13.447867099512836,2025-11-22 07:14:37.123778,2025-11-22 08:23:12.035331,0 days 01:08:34.911553,0.0024653191036700275,0.000874578033371873,4,1,COMPLETE
10,-9.595624460779417,2025-11-22 07:14:37.124099,2025-11-22 08:21:53.082919,0 days 01:07:15.958820,0.039194633399569,0.002082996840267873,95,1,COMPLETE
11,-12.151985928638664,2025-11-22 07:14:37.124482,2025-11-22 08:21:38.532533,0 days 01:07:01.408051,0.04494034257323021,0.00030272027116477464,108,1,COMPLETE
12,-5.142295233014294,2025-11-22 07:14:37.124905,2025-11-22 08:19:55.172035,0 days 01:05:18.047130,0.01435140802024166,0.006862862181039526,192,1,COMPLETE
13,-10.502446092281916,2025-11-22 07:14:37.125221,2025-11-22 08:21:20.090558,0 days 01:06:42.965337,0.01924890148877693,0.0010157829972082491,123,1,COMPLETE
14,-1.712329186499059,2025-11-22 07:14:37.125694,2025-11-22 08:20:44.025599,0 days 01:06:06.899905,0.010102108297308888,0.01869436348939635,160,1,COMPLETE
15,-7.826923090091218,2025-11-22 07:14:37.126955,2025-11-22 08:22:46.653850,0 days 01:08:09.526895,0.06772366345154793,0.0029642643038973165,58,1,COMPLETE
16,-18.500045732217114,2025-11-22 07:14:37.128601,2025-11-22 08:22:07.669973,0 days 01:07:30.541372,0.045750159830400955,0.00030974784833200076,73,1,COMPLETE
17,-22.517532382937876,2025-11-22 07:14:37.128823,2025-11-22 08:20:58.774993,0 days 01:06:21.646170,0.0010737625656610595,0.0007535572482174327,147,1,COMPLETE
18,-11.222766965541696,2025-11-22 07:14:37.129229,2025-11-22 08:20:16.489983,0 days 01:05:39.360754,0.19074944158395168,0.00045225600095525313,190,1,COMPLETE
19,-8.067977403582594,2025-11-22 07:14:37.129502,2025-11-22 08:20:34.002114,0 days 01:05:56.872612,0.027383450457072363,0.002838450544149985,173,1,COMPLETE
