number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
31,1.8313809405567432,2025-11-22 08:21:01.703137,2025-11-22 09:29:10.050680,0 days 01:08:08.347543,0.08052600103636576,6.577777755421332e-05,1,4,COMPLETE
32,1.5083224390409815,2025-11-22 08:21:07.524543,2025-11-22 09:29:04.583960,0 days 01:07:57.059417,0.07423307160737008,7.040574141565294e-05,1,4,COMPLETE
33,1.7740901189525962,2025-11-22 08:21:08.058858,2025-11-22 09:29:10.167356,0 days 01:08:02.108498,0.07057714838709885,0.00028883660074367914,1,4,COMPLETE
34,1.3875045315914252,2025-11-22 08:21:08.142655,2025-11-22 09:29:05.138040,0 days 01:07:56.995385,0.06940024740983834,7.118505590870402e-05,1,4,COMPLETE
35,1.8315685439585185,2025-11-22 08:21:13.310966,2025-11-22 09:28:35.960167,0 days 01:07:22.649201,0.06092057445365432,5.2317213866609807e-05,1,4,COMPLETE
36,1.6031981669174367,2025-11-22 08:21:26.294949,2025-11-22 09:29:09.024353,0 days 01:07:42.729404,0.061235034969440744,7.667331371739318e-05,1,4,COMPLETE
37,1.7250885333656392,2025-11-22 08:21:28.521248,2025-11-22 09:29:22.983132,0 days 01:07:54.461884,0.060987667113728446,7.027523109436626e-05,1,4,COMPLETE
38,1.870736852426345,2025-11-22 08:21:31.445937,2025-11-22 09:31:02.921859,0 days 01:09:31.475922,0.013348469591265675,7.962146397609656e-05,1,7,COMPLETE
39,1.7632701467666838,2025-11-22 08:21:45.261800,2025-11-22 09:31:19.690814,0 days 01:09:34.429014,0.01335212119995279,7.863544933079848e-05,1,7,COMPLETE
40,1.7821158057789666,2025-11-22 08:21:47.665061,2025-11-22 09:31:11.673726,0 days 01:09:24.008665,0.012602680168882077,8.109265000701015e-05,1,7,COMPLETE
41,1.683965590636255,2025-11-22 08:21:54.772844,2025-11-22 09:31:03.115957,0 days 01:09:08.343113,0.013188746098280012,7.329323808769343e-05,1,7,COMPLETE
42,1.928772165853095,2025-11-22 08:21:57.032504,2025-11-22 09:31:04.158182,0 days 01:09:07.125678,0.015559081178516827,7.85469593904945e-05,1,6,COMPLETE
43,1.6476864036013001,2025-11-22 08:22:20.684931,2025-11-22 09:31:44.344766,0 days 01:09:23.659835,0.0034648187103077967,7.900136756185892e-05,1,7,COMPLETE
44,1.5332556170556526,2025-11-22 08:22:25.849158,2025-11-22 09:31:42.997418,0 days 01:09:17.148260,0.003601254751615505,0.00026302438939495795,1,7,COMPLETE
45,1.6265832571278163,2025-11-22 08:22:29.072372,2025-11-22 09:31:39.838608,0 days 01:09:10.766236,0.015553399421267764,0.000306922047019105,1,7,COMPLETE
46,1.9951175697529764,2025-11-22 08:22:52.119962,2025-11-22 09:30:54.539265,0 days 01:08:02.419303,0.013828640717471249,0.0002864213244351852,1,7,COMPLETE
47,1.4392003438693746,2025-11-22 08:22:53.823687,2025-11-22 09:31:26.626928,0 days 01:08:32.803241,0.014169443225213435,7.856812979868517e-05,1,7,COMPLETE
48,1.6313011814018121,2025-11-22 08:22:55.110528,2025-11-22 09:31:12.978141,0 days 01:08:17.867613,0.014485679685624111,7.759826227542734e-05,1,7,COMPLETE
49,1.4680407888267288,2025-11-22 08:23:02.496812,2025-11-22 09:31:40.592701,0 days 01:08:38.095889,0.01416576740142501,0.00027017341933547944,1,7,COMPLETE
50,1.7272026538954761,2025-11-22 09:19:26.687289,2025-11-22 09:34:48.618563,0 days 00:15:21.931274,0.013566363553043045,7.95283693124252e-05,1,7,COMPLETE
51,1.4804760492559628,2025-11-22 09:19:27.416796,2025-11-22 09:34:53.848268,0 days 00:15:26.431472,0.015744625570053867,7.213258865179551e-05,1,7,COMPLETE
52,1.5922283569169635,2025-11-22 09:28:34.258879,2025-11-22 10:34:01.173575,0 days 01:05:26.914696,0.00945430784815001,0.00044664032843400373,1,9,COMPLETE
53,1.6919500749987069,2025-11-22 09:28:35.961591,2025-11-22 10:32:46.499513,0 days 01:04:10.537922,0.009229626299763406,0.0004600166362061223,1,2,COMPLETE
54,1.8025049752665445,2025-11-22 09:29:01.694894,2025-11-22 10:35:23.735140,0 days 01:06:22.040246,0.02337834491945041,0.00011904941672480173,1,2,COMPLETE
55,1.5307712223063337,2025-11-22 09:29:04.585698,2025-11-22 10:35:49.735578,0 days 01:06:45.149880,0.005227922450116626,0.00013025572404324142,1,9,COMPLETE
