number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
37,-0.3402819135420392,2025-11-21 06:45:48.780131,2025-11-21 07:19:30.255445,0 days 00:33:41.475314,0.0028418641054183493,0.005456691455836125,54,COMPLETE
38,0.14159002354997177,2025-11-21 06:45:53.592141,2025-11-21 07:19:21.722857,0 days 00:33:28.130716,0.002295425410996435,0.0065931632544591594,56,COMPLETE
39,-32.200162614093436,2025-11-21 06:46:01.489982,2025-11-21 07:19:40.415267,0 days 00:33:38.925285,0.0025450232959978504,0.09891843707118368,42,COMPLETE
40,-0.35934739851334413,2025-11-21 06:46:23.039882,2025-11-21 07:20:52.643986,0 days 00:34:29.604104,0.029949354957717982,0.00984865183142098,67,COMPLETE
41,-0.26804498692713036,2025-11-21 06:46:46.198046,2025-11-21 07:21:43.161879,0 days 00:34:56.963833,0.03147487427526539,0.010494716454049171,4,COMPLETE
42,-0.4737532563951969,2025-11-21 06:46:50.369998,2025-11-21 07:21:52.149351,0 days 00:35:01.779353,0.03079056727290514,0.011477702839011129,3,COMPLETE
43,-1.6878139516567014,2025-11-21 06:46:51.161905,2025-11-21 07:21:48.347060,0 days 00:34:57.185155,0.0019445525662423761,0.010913186548511058,1,COMPLETE
44,-0.00948837635042682,2025-11-21 06:46:53.618024,2025-11-21 07:21:40.979981,0 days 00:34:47.361957,0.0020904027141597716,0.00995710747262922,1,COMPLETE
45,-0.296496887890728,2025-11-21 06:46:54.622426,2025-11-21 07:21:46.407082,0 days 00:34:51.784656,0.03966944088897849,0.012356158017316099,3,COMPLETE
46,-0.47014222029552927,2025-11-21 06:46:58.482466,2025-11-21 07:20:48.793194,0 days 00:33:50.310728,0.04194714083263366,0.011751088260503244,68,COMPLETE
47,-0.23149660059627045,2025-11-21 06:47:01.924454,2025-11-21 07:21:28.211882,0 days 00:34:26.287428,0.03223905997343013,0.010890858345230833,3,COMPLETE
48,0.2750556707632801,2025-11-21 06:47:06.515682,2025-11-21 07:21:26.701091,0 days 00:34:20.185409,0.001899894416108889,0.009942835017899648,32,COMPLETE
49,-0.26265595481982745,2025-11-21 06:47:11.370891,2025-11-21 07:22:04.278720,0 days 00:34:52.907829,0.03644037285928869,0.011100546670519972,3,COMPLETE
50,-0.4161631085000298,2025-11-21 07:12:51.040187,2025-11-21 07:26:39.172651,0 days 00:13:48.132464,0.00502483760974873,0.013527735680155261,70,COMPLETE
51,-1.8523350666935914,2025-11-21 07:13:12.348107,2025-11-21 07:26:50.072042,0 days 00:13:37.723935,0.0010256324401619215,0.01451101213447606,66,COMPLETE
52,0.10963380265773223,2025-11-21 07:13:13.977312,2025-11-21 07:26:39.008116,0 days 00:13:25.030804,0.0010457285764484993,0.012132457335046455,71,COMPLETE
53,-0.36491125825292087,2025-11-21 07:13:17.413692,2025-11-21 07:26:43.262459,0 days 00:13:25.848767,0.03266824466705102,0.012652239730306047,68,COMPLETE
54,-1.5733733046658458,2025-11-21 07:13:18.543469,2025-11-21 07:27:24.160161,0 days 00:14:05.616692,0.0010004227970740868,0.011676650545169549,0,COMPLETE
55,-0.26235817944546386,2025-11-21 07:19:20.332809,2025-11-21 07:50:33.452870,0 days 00:31:13.120061,0.0044506271116054935,0.0026764402116892672,28,COMPLETE
56,-0.6617383959678581,2025-11-21 07:19:21.724762,2025-11-21 07:50:57.190092,0 days 00:31:35.465330,0.004555992571827534,0.0024196353611988545,27,COMPLETE
57,-0.523818998789319,2025-11-21 07:19:24.530020,2025-11-21 07:50:45.557948,0 days 00:31:21.027928,0.004599101444965576,0.004074027610688089,29,COMPLETE
58,-0.03281084176460004,2025-11-21 07:19:30.257589,2025-11-21 07:50:54.852402,0 days 00:31:24.594813,0.0042992660745279,0.002621811361870667,27,COMPLETE
59,-0.114738417118624,2025-11-21 07:19:31.768577,2025-11-21 07:50:49.738433,0 days 00:31:17.969856,0.004424578815898618,0.002471643050174136,28,COMPLETE
60,-1.398571681343384,2025-11-21 07:19:38.281986,2025-11-21 07:50:31.937763,0 days 00:30:53.655777,0.001364280253023842,0.0029744626618502658,31,COMPLETE
61,-0.35926340358335035,2025-11-21 07:19:40.416597,2025-11-21 07:50:39.744336,0 days 00:30:59.327739,0.004670297316968593,0.002187466764547206,31,COMPLETE
62,0.0007764815681182249,2025-11-21 07:19:40.817004,2025-11-21 07:50:38.796413,0 days 00:30:57.979409,0.004402400697595476,0.002174594882120598,32,COMPLETE
63,0.09601413808078442,2025-11-21 07:19:48.169509,2025-11-21 07:50:21.356976,0 days 00:30:33.187467,0.004307299022443938,0.0030410257048320358,31,COMPLETE
64,-1.2277047776039458,2025-11-21 07:20:48.795261,2025-11-21 07:53:45.159159,0 days 00:32:56.363898,0.00421382607240678,0.0025551307009873334,29,COMPLETE
65,-1.5845058615316565,2025-11-21 07:20:52.646106,2025-11-21 07:53:51.466555,0 days 00:32:58.820449,0.004122993904237848,0.002509478606457153,30,COMPLETE
66,0.029528461602747937,2025-11-21 07:21:22.294070,2025-11-21 07:53:27.774545,0 days 00:32:05.480475,0.004197737691654667,0.0020413815248559336,30,COMPLETE
67,-0.2299999271092133,2025-11-21 07:21:26.703362,2025-11-21 07:53:33.247476,0 days 00:32:06.544114,0.00412107480926505,0.0024760761119603848,33,COMPLETE
68,-0.1465413124952707,2025-11-21 07:21:28.212902,2025-11-21 07:53:40.563154,0 days 00:32:12.350252,0.004506616383428672,0.004325880992268353,30,COMPLETE
69,-0.2705594181023547,2025-11-21 07:21:40.981651,2025-11-21 07:53:38.596737,0 days 00:31:57.615086,0.004480532513886711,0.002850394058001359,27,COMPLETE
70,-0.21078745051940148,2025-11-21 07:21:43.163159,2025-11-21 07:53:24.490317,0 days 00:31:41.327158,0.004246050410938523,0.0026429750155268503,31,COMPLETE
71,-0.080780950450935,2025-11-21 07:21:46.410483,2025-11-21 07:53:32.506696,0 days 00:31:46.096213,0.004217767113810511,0.0025373790376013294,34,COMPLETE
72,-1.0851416817737156,2025-11-21 07:21:48.348825,2025-11-21 07:53:52.065468,0 days 00:32:03.716643,0.0015697085489225911,0.0027653369041690614,29,COMPLETE
73,0.0017699186354988186,2025-11-21 07:21:52.151333,2025-11-21 07:54:59.910728,0 days 00:33:07.759395,0.004173979826328046,0.002453153409770948,26,COMPLETE
74,-0.282544573508123,2025-11-21 07:22:04.280524,2025-11-21 07:54:47.266013,0 days 00:32:42.985489,0.004746987760781511,0.02035692637130425,29,COMPLETE
75,-0.09105486234384663,2025-11-21 07:26:39.009707,2025-11-21 07:55:12.217089,0 days 00:28:33.207382,0.004438189016682052,0.002367491001287714,30,COMPLETE
76,-1.5841054194734006,2025-11-21 07:26:39.173603,2025-11-21 07:55:03.948478,0 days 00:28:24.774875,0.0013977193000094083,0.0041084136004049246,31,COMPLETE
77,-1.7127127641832864,2025-11-21 07:26:43.264092,2025-11-21 07:55:07.506257,0 days 00:28:24.242165,0.004313631795096668,0.0028051211923770564,31,COMPLETE
78,0.016762431273993926,2025-11-21 07:26:50.073574,2025-11-21 07:55:17.632078,0 days 00:28:27.558504,0.004468918213806358,0.002926115602520871,29,COMPLETE
79,-0.2939467616157564,2025-11-21 07:27:24.161778,2025-11-21 07:55:21.183498,0 days 00:27:57.021720,0.00418566733167231,0.002005254277859311,28,COMPLETE
80,-0.026276681353895638,2025-11-21 07:50:21.359276,2025-11-21 08:11:34.931435,0 days 00:21:13.572159,0.007809483767095259,0.008759037957018666,77,COMPLETE
81,0.10671662830417596,2025-11-21 07:50:31.941124,2025-11-21 08:11:18.573044,0 days 00:20:46.631920,0.011044614012498382,0.008184790664451744,92,COMPLETE
82,0.024987063239325983,2025-11-21 07:50:33.456124,2025-11-21 08:12:37.905827,0 days 00:22:04.449703,0.007030040063462934,0.00855835917605642,19,COMPLETE
83,0.23246159351296775,2025-11-21 07:50:38.797858,2025-11-21 08:12:39.567471,0 days 00:22:00.769613,0.0019852727809969075,0.00862204024239671,19,COMPLETE
84,-1.6090041546414942,2025-11-21 07:50:39.745988,2025-11-21 08:12:32.175446,0 days 00:21:52.429458,0.006593939789962919,0.008397914879024375,19,COMPLETE
