number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
32,-0.1815784233361429,2025-11-21 13:52:00.328875,2025-11-21 14:51:24.796481,0 days 00:59:24.467606,0.02218581586149156,0.0003084054116116296,11,COMPLETE
33,-0.1397895459244565,2025-11-21 13:52:03.718522,2025-11-21 14:51:10.136933,0 days 00:59:06.418411,0.016801236382591962,0.000999565583075123,11,COMPLETE
34,-0.31043056936927493,2025-11-21 13:52:05.232985,2025-11-21 14:51:33.056571,0 days 00:59:27.823586,0.022398542487403614,0.0009643068587945171,11,COMPLETE
35,0.04491097979156683,2025-11-21 13:52:05.237910,2025-11-21 14:51:38.830962,0 days 00:59:33.593052,0.022633083940944262,0.00029831390701211936,11,COMPLETE
36,0.04064889653753018,2025-11-21 13:52:08.588281,2025-11-21 14:49:20.006150,0 days 00:57:11.417869,0.021990275016937177,0.0009049768638763636,11,COMPLETE
37,-0.05869527491343271,2025-11-21 13:52:08.969723,2025-11-21 14:50:30.452161,0 days 00:58:21.482438,0.020503104588787874,0.0002979520640389698,11,COMPLETE
38,-0.17709240134168547,2025-11-21 13:52:11.611026,2025-11-21 14:51:13.063699,0 days 00:59:01.452673,0.022466769764508593,0.0009247838953124583,11,COMPLETE
39,-0.1593895493146171,2025-11-21 13:52:12.806147,2025-11-21 14:51:32.131688,0 days 00:59:19.325541,0.01857280164089605,0.00026986426937083876,11,COMPLETE
40,-0.36239771026439344,2025-11-21 13:52:13.720088,2025-11-21 14:51:29.714765,0 days 00:59:15.994677,0.017666035813521344,0.0009418379716904254,11,COMPLETE
41,-0.06680343845867219,2025-11-21 13:52:15.546632,2025-11-21 14:51:22.457511,0 days 00:59:06.910879,0.017172044299949136,0.0009971735426185756,11,COMPLETE
42,-0.5128791709149669,2025-11-21 13:52:17.168500,2025-11-21 14:51:09.100891,0 days 00:58:51.932391,0.022522563743444454,0.00029385542017925476,11,COMPLETE
43,-0.11973809611900617,2025-11-21 13:52:18.167248,2025-11-21 14:51:33.732008,0 days 00:59:15.564760,0.021943491004241488,0.00028191103283676107,11,COMPLETE
44,-0.27324097313643514,2025-11-21 13:52:54.400766,2025-11-21 14:51:47.683139,0 days 00:58:53.282373,0.02103119591527429,0.0009247393874263111,11,COMPLETE
45,-0.5029848789886862,2025-11-21 13:52:56.773837,2025-11-21 14:51:48.748567,0 days 00:58:51.974730,0.025988355152062662,0.00030135662548127324,11,COMPLETE
46,0.06590003883179393,2025-11-21 13:53:15.362631,2025-11-21 14:51:39.672129,0 days 00:58:24.309498,0.021920417024728935,0.0009725187688744022,11,COMPLETE
47,-0.37323463553393216,2025-11-21 13:53:19.446856,2025-11-21 14:51:39.036279,0 days 00:58:19.589423,0.020433910463759558,0.0009447726850398353,11,COMPLETE
48,0.003742424423584055,2025-11-21 13:53:19.975939,2025-11-21 14:52:11.305582,0 days 00:58:51.329643,0.022057567527347745,0.00029328651196816943,11,COMPLETE
49,-0.27025609831897973,2025-11-21 13:53:30.275724,2025-11-21 14:51:25.258671,0 days 00:57:54.982947,0.018651144251864923,0.00028837425829159166,11,COMPLETE
50,0.06740364440165181,2025-11-21 14:48:56.019859,2025-11-21 15:36:43.924688,0 days 00:47:47.904829,0.0036850104330537993,0.0005971457475840175,21,COMPLETE
51,-0.546765776595353,2025-11-21 14:48:59.703445,2025-11-21 15:36:47.405550,0 days 00:47:47.702105,0.03872882436313859,0.0005171614499501748,21,COMPLETE
52,-0.4603496612791715,2025-11-21 14:49:07.356653,2025-11-21 15:36:44.465549,0 days 00:47:37.108896,0.03627937618031537,0.0005503213890526398,21,COMPLETE
53,-0.5196210033960535,2025-11-21 14:49:14.705923,2025-11-21 15:36:33.278381,0 days 00:47:18.572458,0.03751769853832095,0.0005003709924612317,21,COMPLETE
54,-0.13787197428976986,2025-11-21 14:49:20.008319,2025-11-21 15:36:39.001638,0 days 00:47:18.993319,0.03833287609866785,0.0005610040291707533,21,COMPLETE
55,-0.16345126154339773,2025-11-21 14:50:30.454375,2025-11-21 15:47:18.350001,0 days 00:56:47.895626,0.004746649588734207,0.00019922704675654973,1,COMPLETE
56,-0.39262900921196653,2025-11-21 14:51:06.391343,2025-11-21 15:47:29.354245,0 days 00:56:22.962902,0.0034714444485549178,0.00019358746285722466,1,COMPLETE
57,0.0430293782382233,2025-11-21 14:51:09.106181,2025-11-21 15:47:28.688239,0 days 00:56:19.582058,0.003313492194249468,0.0001910434733878242,1,COMPLETE
