#{"t_start": 1765983727.382072, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-0.03918277557464139,1,1.454936,-0.03918277557464139,nan,nan,[1693.0439748  1038.58004615 2073.90323253],nan,[4807.41093052],[89.98296202 60.55459441 59.88622607],[89.98296202 60.55459441 59.88622607],[90.46670378 61.71670378 60.46670378],[ 0.48374176 29.91210938 30.58047771],[ 0.48374176 29.91210938 30.58047771],[ 0.   28.75 30.  ],90.46670378163557,10.0,0.04425395425621303
-0.002249203015968381,1,1.455216,-0.002249203015968381,nan,nan,[2005.7811918  1514.57521629 2235.11264837],nan,[5755.59851155],[93.03600292 69.50685005 66.97640399],[93.03600292 69.50685005 66.97640399],[93.46562843 69.71562843 67.21562843],[ 0.42962551 23.95877838 26.48922443],[ 0.42962551 23.95877838 26.48922443],[ 0.   23.75 26.25],93.46562842710495,10.0,0.054148390783466435
-0.07829241120052673,1,1.455492,-0.07829241120052673,nan,nan,[1693.93987017  976.34042555 2069.01846981],nan,[4743.01218413],[89.73859752 58.68546451 59.57327807],[89.73859752 58.68546451 59.57327807],[90.26906455 60.26906455 60.26906455],[ 0.53046703 31.58360004 30.69578648],[ 0.53046703 31.58360004 30.69578648],[ 0. 30. 30.],90.26906455042179,10.0,0.03813249523714067
-0.007162018439536238,1,1.455773,-0.007162018439536238,nan,nan,[1701.26966929 1020.72445679 2132.65666567],nan,[4854.99850764],[90.12800723 60.6963542  61.45746737],[90.12800723 60.6963542  61.45746737],[90.61457663 61.86457663 61.86457663],[ 0.4865694  29.91822243 29.15710926],[ 0.4865694  29.91822243 29.15710926],[ 0.   28.75 28.75],90.61457663221259,10.0,0.045582066259030725
0.001531989822946814,1,1.456049,0.001531989822946814,nan,nan,[1892.91234768 1301.00124903 2200.61065168],nan,[5394.44160609],[91.89977174 65.66787725 64.86948972],[91.89977174 65.66787725 64.86948972],[92.28658681 66.03658681 64.78658681],[ 0.38681507 26.61870956 27.41709709],[ 0.38681507 26.61870956 27.41709709],[ 0.   26.25 27.5 ],92.2865868130281,10.0,0.060925824291185135
-0.04226475998997428,1,1.746399,-0.04226475998997428,nan,nan,[2147.75043723 1664.52618741 2226.89184885],nan,[6041.72199279],[93.93722268 70.28847905 67.72513124],[93.93722268 70.28847905 67.72513124],[94.43840715 70.68840715 68.18840715],[ 0.50118446 24.14992809 26.71327591],[ 0.50118446 24.14992809 26.71327591],[ 0.   23.75 26.25],94.4384071471594,10.0,0.046855457064133986
-0.008426936108523247,1,1.746908,-0.008426936108523247,nan,nan,[1997.43867511 1590.56394768 2303.2918579 ],nan,[5891.79097815],[93.69733376 71.77238029 69.35890955],[93.69733376 71.77238029 69.35890955],[93.91022247 71.41022247 68.91022247],[ 0.21288872 22.13784218 24.55131292],[ 0.21288872 22.13784218 24.55131292],[ 0.  22.5 25. ],93.91022247292982,10.0,0.0743139439181279
-0.012680529727573716,1,1.747202,-0.012680529727573716,nan,nan,[2066.82315849 1753.91728863 2238.53776261],nan,[6060.04665576],[94.22181984 73.58873745 68.12348744],[94.22181984 73.58873745 68.12348744],[94.51879402 73.26879402 68.26879402],[ 0.29697418 20.93005657 26.39530659],[ 0.29697418 20.93005657 26.39530659],[ 0.   21.25 26.25],94.51879402496051,10.0,0.06487056830731797
-0.07712442201557736,1,1.747481,-0.07712442201557736,nan,nan,[1864.3181377   999.77022465 2116.03265886],nan,[4983.96487532],[90.36543013 57.55823256 61.43870474],[90.36543013 57.55823256 61.43870474],[91.00563647 59.75563647 62.25563647],[ 0.64020634 33.44740391 29.56693172],[ 0.64020634 33.44740391 29.56693172],[ 0.   31.25 28.75],91.00563646688816,10.0,0.02760518402358394
-0.006696694899998719,1,1.747771,-0.006696694899998719,nan,nan,[2185.74037797 1872.58528368 2376.99393171],nan,[6435.75057594],[95.61267341 76.10928262 73.56710637],[95.61267341 76.10928262 73.56710637],[95.83235229 75.83235229 73.33235229],[ 0.21967888 19.72306967 22.26524591],[ 0.21967888 19.72306967 22.26524591],[ 0.  20.  22.5],95.83235228690543,10.0,0.06700920830080487
