simseed,sum_turbine_powers,floris_opt,rew,rewbaseline,wdir,ws,TI,FFSeed
4755284634,4672.944360194591,5392.2514120297865,-13.339642328813984,-1.2754471487736116, 90.0,10.0,0.025,7
221760652,5566.692131154322,6416.187308523867,-13.239874968129367,0.3101269745396954, 94.0,10.0,0.05,6
419047149,4747.714636416975,5384.396238102012,-11.824568132256664,-1.875492464584132, 90.0,10.0,0.05,7
1296059821,5860.159266691497,6996.900212088641,-16.24635068302362,3.5886486514898035, 96.0,10.0,0.05,5
6631823909,5719.397639693019,6457.050665070418,-11.42399314547355,2.432461061730994, 94.0,10.0,0.075,8
6851429836,5710.267208336793,5907.7599990897115,-3.3429386228172526,8.425525405767335, 92.0,10.0,0.05,0
5651029205,5907.227341735899,6405.5328938379225,-7.779298933604567,4.01721650519894, 94.0,10.0,0.025,0
6669417196,5915.442163757526,5914.039791785825,0.02371258938176955,13.455892495075384, 92.0,10.0,0.075,0
6841160631,4830.607263612918,5406.772348175144,-10.656359237257114,-0.15150946447956484, 90.0,10.0,0.075,6
4315538370,4795.02605063601,5392.2514120297865,-11.075621586586315,1.9102888481930005, 90.0,10.0,0.025,5
4615666528,4900.331901139528,5907.7599990897115,-17.052623974322106,-4.476881199565123, 92.0,10.0,0.05,4
5822283120,4730.251150852509,5406.772348175144,-12.512477939837229,-5.575920942560166, 90.0,10.0,0.075,3
9148478677,5757.531324592937,6934.254560608033,-16.969714995751673,-0.31981589436144203, 96.0,10.0,0.025,6
6465670189,5238.230358280773,5927.210961873994,-11.624027017512937,0.019652835208701126, 92.0,10.0,0.025,6
7041403769,4985.961266154567,5914.039791785825,-15.69280150803673,-7.2080960483276595, 92.0,10.0,0.075,3
2294435936,5425.038565818419,6416.187308523867,-15.447627929887783,-4.569630093918523, 94.0,10.0,0.05,4
5621643300,4966.267620274173,5907.7599990897115,-15.9365373502073,-3.3828194522956943, 92.0,10.0,0.05,2
4602725087,5874.451117009421,6934.254560608033,-15.283595869397715,0.5474816815796524, 96.0,10.0,0.025,8
7054702307,4875.250374270294,5914.039791785825,-17.56480264063044,-7.2080960483276595, 92.0,10.0,0.075,3
4490352330,5579.0744268699,7040.566836348752,-20.758163986648327,-7.263329619982095, 96.0,10.0,0.075,4
158502452,5321.423732616123,6457.050665070418,-17.587393863850235,-6.641787540918119, 94.0,10.0,0.075,4
5909846175,5133.006205444475,5907.7599990897115,-13.1141717633183,0.15795170298360256, 92.0,10.0,0.05,9
9523911000,5566.2930893350585,6416.187308523867,-13.246094266290026,1.299938684708361, 94.0,10.0,0.05,8
6661602484,4981.789756714681,5392.2514120297865,-7.612064496833184,4.804218142239973, 90.0,10.0,0.025,0
6233827753,4596.145329627798,5384.396238102012,-14.639541252485365,-1.875492464584132, 90.0,10.0,0.05,7
2596518389,5576.645952383352,6405.5328938379225,-12.940171492241559,0.06846807174828172, 94.0,10.0,0.025,6
3163626951,4931.1262513019155,5406.772348175144,-8.797228110293286,4.432351007769903, 90.0,10.0,0.075,5
6645943129,5260.276360457743,5907.7599990897115,-10.959883927778634,0.3682528716710645, 92.0,10.0,0.05,6
3555240616,5668.7335145077905,7040.566836348752,-19.484699935785233,-2.1971075112634786, 96.0,10.0,0.075,7
4569505557,5298.019288928502,5927.210961873994,-10.615307553462921,1.8494394370871816, 92.0,10.0,0.025,5
6887970205,5296.627147337371,5927.210961873994,-10.638794849597405,1.8494394370871816, 92.0,10.0,0.025,5
846590881,5262.675046092419,5907.7599990897115,-10.919281641378287,0.9902848010379172, 92.0,10.0,0.05,8
4623317311,5884.556924063438,6934.254560608033,-15.13785840092597,3.982444189874786, 96.0,10.0,0.025,0
2717653838,4658.3600886078475,5406.772348175144,-13.842126344008085,-3.356620369463801, 90.0,10.0,0.075,7
9745420891,6050.0309050745145,7040.566836348752,-14.068979874750125,5.156967562691488, 96.0,10.0,0.075,5
6249875987,5566.618349667801,6457.050665070418,-13.790077879045203,0.55088762330784, 94.0,10.0,0.075,6
5217803179,4611.643458090305,5384.396238102012,-14.35170715229718,-4.618025960976633, 90.0,10.0,0.05,4
5575707468,5589.812323560626,6405.5328938379225,-12.734624640863426,0.06846807174828172, 94.0,10.0,0.025,6
2176477410,5170.915701911039,5927.210961873994,-12.759715569898308,-2.662688828237845, 92.0,10.0,0.025,3
5814963839,5945.054455447683,7040.566836348752,-15.560002573162185,1.1216078498625972, 96.0,10.0,0.075,1
6275654727,5399.372758659167,6416.187308523867,-15.847644418264844,-4.569630093918523, 94.0,10.0,0.05,4
1321839872,6518.963126687899,7040.566836348752,-7.408547092656503,11.929859481151766, 96.0,10.0,0.075,0
7653126012,5859.031966765011,6934.254560608033,-15.50595791436795,-0.8444783895643617, 96.0,10.0,0.025,2
9897160876,4620.430085926662,5406.772348175144,-14.543653988203925,-5.575920942560166, 90.0,10.0,0.075,3
6925321088,5193.74834895351,5907.7599990897115,-12.085996219315259,-1.1450640582628266, 92.0,10.0,0.05,7
6417888226,5120.338430171516,5927.210961873994,-13.613021991162114,-1.6316546252198778, 92.0,10.0,0.025,2
9914690713,5274.71087717664,5914.039791785825,-10.810358690808394,2.472406875997795, 92.0,10.0,0.075,8
3072819538,5497.307751690486,6416.187308523867,-14.321270758611657,-3.0139104324157944, 94.0,10.0,0.05,2
5072356217,5277.06314425791,6457.050665070418,-18.27440393484415,-6.641787540918119, 94.0,10.0,0.075,4
3564549531,5545.175692975197,6416.187308523867,-13.575221134699975,-1.780623139037308, 94.0,10.0,0.05,7
1267276938,5629.279575633689,6996.900212088641,-19.54609319841513,-5.689618279411767, 96.0,10.0,0.05,3
3412196322,4914.737550900667,5392.2514120297865,-8.855556327804281,4.804218142239973, 90.0,10.0,0.025,0
1711708766,4641.954339171256,5384.396238102012,-13.788767878503405,-3.5674139500452595, 90.0,10.0,0.05,2
6516835512,5202.727574920735,5927.210961873994,-12.223006598101598,0.10927019738364455, 92.0,10.0,0.025,9
3913444579,5738.515049853719,6416.187308523867,-10.5619151387595,0.435044630425622, 94.0,10.0,0.05,9
416079052,5171.620549143829,5914.039791785825,-12.55350435201947,-2.384905030949675, 92.0,10.0,0.075,7
7318277188,4675.186459240792,5406.772348175144,-13.530917187243357,-3.8149979080312058, 90.0,10.0,0.075,2
8279094664,5908.792536958701,7040.566836348752,-16.075045173166636,-3.3252824684959887, 96.0,10.0,0.075,2
