number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
31,2.62377570682589,2025-11-22 09:18:43.596188,2025-11-22 11:29:33.340984,0 days 02:10:49.744796,0.04810444910267194,0.00017746714643332285,1,16,COMPLETE
32,2.5393581805078873,2025-11-22 09:18:48.670023,2025-11-22 11:29:17.519260,0 days 02:10:28.849237,0.05621492475215049,0.0009983369127662207,1,16,COMPLETE
33,2.73158909143859,2025-11-22 09:18:50.950083,2025-11-22 11:29:31.349372,0 days 02:10:40.399289,0.05887084758219275,0.0008206025390116815,1,16,COMPLETE
34,2.675767556986041,2025-11-22 09:18:51.495354,2025-11-22 11:29:16.383024,0 days 02:10:24.887670,0.06589502690103313,0.0007587989828474311,1,16,COMPLETE
35,2.606024948063331,2025-11-22 09:18:55.607880,2025-11-22 11:28:42.811163,0 days 02:09:47.203283,0.04511011832689509,0.0009858653005714254,1,15,COMPLETE
36,2.1373953046454433,2025-11-22 09:18:57.566254,2025-11-22 11:29:18.434211,0 days 02:10:20.867957,0.06265455096679544,0.0009845449101102395,1,16,COMPLETE
37,2.3677524704764115,2025-11-22 09:18:57.927340,2025-11-22 11:29:33.582216,0 days 02:10:35.654876,0.05467089778898966,0.0008802390227851792,1,16,COMPLETE
38,2.408295461571206,2025-11-22 09:18:58.946103,2025-11-22 11:29:46.938985,0 days 02:10:47.992882,0.05058026471342463,0.0009998245695337124,1,16,COMPLETE
39,2.556992333039034,2025-11-22 09:19:01.679397,2025-11-22 11:26:24.702849,0 days 02:07:23.023452,0.039384860172745464,0.0009471078219579987,1,16,COMPLETE
40,2.6303772166963038,2025-11-22 09:19:02.053669,2025-11-22 11:29:26.332348,0 days 02:10:24.278679,0.046779627213734215,0.00018400275686954144,1,15,COMPLETE
41,2.6096681505674217,2025-11-22 09:19:05.680776,2025-11-22 11:29:16.041031,0 days 02:10:10.360255,0.050444500556213016,0.0009320877999852539,1,16,COMPLETE
42,2.4387232153862826,2025-11-22 09:19:08.122534,2025-11-22 11:28:33.523096,0 days 02:09:25.400562,0.05467596757274637,0.0008729011322016601,1,15,COMPLETE
43,2.532349311332567,2025-11-22 09:19:17.558016,2025-11-22 11:29:43.630814,0 days 02:10:26.072798,0.06811304694172342,0.0008585821356025541,1,16,COMPLETE
44,2.78852046085323,2025-11-22 09:19:21.448981,2025-11-22 11:29:18.065814,0 days 02:09:56.616833,0.041239140183112824,0.0008065342680249912,1,16,COMPLETE
45,2.259684743037902,2025-11-22 09:19:29.662370,2025-11-22 11:29:38.231274,0 days 02:10:08.568904,0.04454907129169299,0.0009293491374052697,1,16,COMPLETE
46,2.3959074522919566,2025-11-22 09:19:30.729239,2025-11-22 11:28:47.227753,0 days 02:09:16.498514,0.055158143308787974,0.0009942276067092294,1,15,COMPLETE
47,2.496046528612362,2025-11-22 09:19:49.720725,2025-11-22 11:30:00.100213,0 days 02:10:10.379488,0.04494571384700601,0.0008076234380311944,1,16,COMPLETE
48,2.6314192938832446,2025-11-22 09:19:55.631386,2025-11-22 11:29:36.907138,0 days 02:09:41.275752,0.05011058183464996,0.0008373389163969092,1,16,COMPLETE
49,2.5994880342106197,2025-11-22 09:19:57.470765,2025-11-22 11:30:10.789817,0 days 02:10:13.319052,0.04885884632718852,0.000871687008325487,1,16,COMPLETE
50,2.7655522700179693,2025-11-22 11:25:53.269446,2025-11-22 12:21:37.614861,0 days 00:55:44.345415,0.021822453909700498,0.0002876357648347822,1,2,COMPLETE
51,2.6003680562147835,2025-11-22 11:25:54.097721,2025-11-22 12:21:38.322053,0 days 00:55:44.224332,0.021267586746243704,0.00029498700355893307,1,1,COMPLETE
52,2.713013329775782,2025-11-22 11:25:54.159717,2025-11-22 12:21:23.340071,0 days 00:55:29.180354,0.025548908059270084,0.00031461747329535164,1,10,COMPLETE
53,2.479875065668562,2025-11-22 11:26:11.184910,2025-11-22 12:21:39.534327,0 days 00:55:28.349417,0.02520458633156218,0.0002871380586083063,1,1,COMPLETE
54,2.6391653026579545,2025-11-22 11:26:24.704986,2025-11-22 12:21:32.652991,0 days 00:55:07.948005,0.02350181385205031,0.0004902803826940878,1,10,COMPLETE
55,2.520734666507736,2025-11-22 11:28:33.525019,2025-11-22 12:44:07.900249,0 days 01:15:34.375230,0.28777848394819566,0.00010550731574966607,1,13,COMPLETE
56,2.3057710161962257,2025-11-22 11:28:42.814269,2025-11-22 12:44:11.091936,0 days 01:15:28.277667,0.3781341961402375,9.167007769062799e-05,1,13,COMPLETE
57,2.7932153161452207,2025-11-22 11:28:47.229030,2025-11-22 12:44:15.222733,0 days 01:15:27.993703,0.26165565241827204,0.00010830724229646275,1,13,COMPLETE
58,2.7708012263156636,2025-11-22 11:28:53.811814,2025-11-22 12:44:11.540348,0 days 01:15:17.728534,0.2832704937246605,8.841050947013881e-05,1,13,COMPLETE
59,2.8237182522472932,2025-11-22 11:29:13.188743,2025-11-22 12:45:46.458471,0 days 01:16:33.269728,0.27840695548426175,0.00011308533724479506,1,12,COMPLETE
60,3.0382664794959147,2025-11-22 11:29:16.043117,2025-11-22 12:44:19.136340,0 days 01:15:03.093223,0.282384236714457,0.00010182490044084673,1,13,COMPLETE
61,2.714542595651209,2025-11-22 11:29:16.384033,2025-11-22 12:44:25.354482,0 days 01:15:08.970449,0.22528107495616786,8.987343685024925e-05,1,13,COMPLETE
62,2.5369145063164953,2025-11-22 11:29:17.520417,2025-11-22 12:44:04.112046,0 days 01:14:46.591629,0.399082900559328,0.0005536693666699481,1,13,COMPLETE
63,2.631438289863889,2025-11-22 11:29:18.066745,2025-11-22 12:44:15.227010,0 days 01:14:57.160265,0.3411528724413503,8.971296820355765e-05,1,13,COMPLETE
64,2.7535283009202236,2025-11-22 11:29:18.435325,2025-11-22 12:45:10.777924,0 days 01:15:52.342599,0.25164778120439674,0.0001118166771929042,1,12,COMPLETE
65,2.8071913603015397,2025-11-22 11:29:26.334950,2025-11-22 12:45:04.393866,0 days 01:15:38.058916,0.2621701673386977,0.00010283015244152467,1,13,COMPLETE
66,2.8020541633874188,2025-11-22 11:29:31.351130,2025-11-22 12:46:07.112358,0 days 01:16:35.761228,0.265860819651204,0.00010139588447369008,1,12,COMPLETE
67,2.678893795589826,2025-11-22 11:29:33.342896,2025-11-22 12:44:52.586559,0 days 01:15:19.243663,0.245806958829122,0.0001114997471563721,1,13,COMPLETE
68,2.4333292725494173,2025-11-22 11:29:33.583327,2025-11-22 12:44:43.070330,0 days 01:15:09.487003,0.2331616827279743,0.00010125535796285981,1,13,COMPLETE
69,2.5895259340023093,2025-11-22 11:29:36.908987,2025-11-22 12:45:02.365281,0 days 01:15:25.456294,0.26321977290386417,9.873729946263655e-05,1,13,COMPLETE
70,2.7244111469329573,2025-11-22 11:29:38.233077,2025-11-22 12:46:18.054394,0 days 01:16:39.821317,0.2645213509712803,0.0001012314481921729,1,12,COMPLETE
71,2.6776101873154095,2025-11-22 11:29:43.632647,2025-11-22 12:44:47.832083,0 days 01:15:04.199436,0.26887228180214645,0.00011330681869844322,1,13,COMPLETE
72,2.715753592442379,2025-11-22 11:29:46.940652,2025-11-22 12:44:27.431652,0 days 01:14:40.491000,0.31045066597424886,9.229200883908168e-05,1,13,COMPLETE
73,2.701167544503994,2025-11-22 11:30:00.101811,2025-11-22 12:45:12.966441,0 days 01:15:12.864630,0.27714651048344197,8.987630108190629e-05,1,13,COMPLETE
74,2.481040917487764,2025-11-22 11:30:10.791409,2025-11-22 12:45:38.313764,0 days 01:15:27.522355,0.23087685254858098,0.0005244974417451617,1,12,COMPLETE
75,2.7458463726583013,2025-11-22 12:21:23.342896,2025-11-22 12:52:49.483561,0 days 00:31:26.140665,0.8807475746549148,4.0961813086820044e-05,1,8,COMPLETE
76,2.4347766383598435,2025-11-22 12:21:32.654671,2025-11-22 12:53:48.995185,0 days 00:32:16.340514,0.6020806484289187,3.671342194001712e-05,1,21,COMPLETE
77,2.6254793277632054,2025-11-22 12:21:37.616008,2025-11-22 12:53:24.866547,0 days 00:31:47.250539,0.6551807713434811,3.802689376072619e-05,1,20,COMPLETE
78,2.6778118130430792,2025-11-22 12:21:38.323068,2025-11-22 12:53:02.970623,0 days 00:31:24.647555,0.5950430918903655,4.088827798941461e-05,1,8,COMPLETE
79,2.4380257104153698,2025-11-22 12:21:39.535255,2025-11-22 12:53:41.510867,0 days 00:32:01.975612,0.6147256986794672,4.195459404565005e-05,1,21,COMPLETE
80,2.7098028458427916,2025-11-22 12:44:04.114460,2025-11-22 13:36:51.639615,0 days 00:52:47.525155,0.16195170328896472,0.00022408927023817536,1,11,COMPLETE
81,2.9042745296234576,2025-11-22 12:44:07.901493,2025-11-22 13:36:53.601577,0 days 00:52:45.700084,0.15335811321962328,0.00037429351058684195,1,11,COMPLETE
82,2.307243064208959,2025-11-22 12:44:11.093835,2025-11-22 13:36:58.341953,0 days 00:52:47.248118,0.15304154686297083,0.00021813641104593054,1,11,COMPLETE
83,2.797014129668899,2025-11-22 12:44:11.541652,2025-11-22 13:36:58.158951,0 days 00:52:46.617299,0.14620489787982247,0.0001475001544387327,1,11,COMPLETE
84,2.575692583434675,2025-11-22 12:44:15.224503,2025-11-22 13:37:12.435227,0 days 00:52:57.210724,0.10223186265355405,0.000146701676225156,1,11,COMPLETE
85,2.5616012892270104,2025-11-22 12:44:15.231353,2025-11-22 13:36:46.979921,0 days 00:52:31.748568,0.14836930227495623,0.0003948918717987988,1,11,COMPLETE
86,3.0141499137249945,2025-11-22 12:44:19.137540,2025-11-22 13:37:17.171453,0 days 00:52:58.033913,0.13944785423895759,0.00023688352875222624,1,11,COMPLETE
87,2.7412805588828197,2025-11-22 12:44:25.356518,2025-11-22 13:36:45.388194,0 days 00:52:20.031676,0.15241206320826273,0.0002264578932568363,1,11,COMPLETE
88,2.3920400036801794,2025-11-22 12:44:27.434487,2025-11-22 13:35:37.185657,0 days 00:51:09.751170,0.10476178108436919,0.00023636167405265818,1,10,COMPLETE
89,2.6156037105771923,2025-11-22 12:44:43.072657,2025-11-22 13:36:36.617623,0 days 00:51:53.544966,0.164070775800979,0.00021767589006556714,1,11,COMPLETE
90,2.603221748402889,2025-11-22 12:44:47.834231,2025-11-22 13:37:14.871191,0 days 00:52:27.036960,0.15245865874290596,0.00021262381577342356,1,11,COMPLETE
91,2.7920301486764165,2025-11-22 12:44:52.588403,2025-11-22 13:37:12.578732,0 days 00:52:19.990329,0.08459037883601896,0.0002170760373597669,1,11,COMPLETE
92,2.9510001563972246,2025-11-22 12:45:02.367333,2025-11-22 13:36:23.814455,0 days 00:51:21.447122,0.13482545017863196,0.00021760627004790615,1,11,COMPLETE
93,2.8838969476944776,2025-11-22 12:45:04.395118,2025-11-22 13:36:44.112576,0 days 00:51:39.717458,0.16021634403229185,0.0002177286024454702,1,11,COMPLETE
94,2.72782257737952,2025-11-22 12:45:10.779634,2025-11-22 13:36:45.768706,0 days 00:51:34.989072,0.1525177953234751,6.697960490449483e-05,1,11,COMPLETE
95,2.533604845785488,2025-11-22 12:45:12.967687,2025-11-22 13:35:33.796148,0 days 00:50:20.828461,0.14055148308357895,0.00014966963377714465,1,10,COMPLETE
96,2.51476027178693,2025-11-22 12:45:38.315605,2025-11-22 13:37:43.511774,0 days 00:52:05.196169,0.14156406846963906,0.00022478321781515227,1,11,COMPLETE
97,2.6079166614810774,2025-11-22 12:45:46.460690,2025-11-22 13:37:53.227700,0 days 00:52:06.767010,0.1535523687694407,0.0002200310685055597,1,11,COMPLETE
98,2.6523772200257656,2025-11-22 12:46:07.114106,2025-11-22 13:38:07.577307,0 days 00:52:00.463201,0.16822437052658873,0.00021850471108851745,1,11,COMPLETE
99,2.5802167969986622,2025-11-22 12:46:18.056807,2025-11-22 13:37:55.672717,0 days 00:51:37.615910,0.15716080211705494,0.00023275038349579598,1,11,COMPLETE
