number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
32,-0.883853517716624,2025-11-21 13:49:27.568353,2025-11-21 14:40:09.964918,0 days 00:50:42.396565,0.0689230523239117,0.012097817159140814,110,COMPLETE
33,-1.2453283230908323,2025-11-21 13:49:31.301351,2025-11-21 14:40:07.278802,0 days 00:50:35.977451,0.0689408508029371,0.014054977726496602,113,COMPLETE
34,-1.0801544265795247,2025-11-21 13:49:42.605102,2025-11-21 14:40:56.478917,0 days 00:51:13.873815,0.07818201128548256,0.009012983849066881,77,COMPLETE
35,-1.3955595225225617,2025-11-21 13:49:43.644526,2025-11-21 14:40:29.080214,0 days 00:50:45.435688,0.06831985073912747,0.010135565440043452,110,COMPLETE
36,-1.5294552806207462,2025-11-21 13:49:46.812232,2025-11-21 14:40:15.845895,0 days 00:50:29.033663,0.05890448563304548,0.012288841342238383,112,COMPLETE
37,-1.0349097771164089,2025-11-21 13:49:49.318194,2025-11-21 14:40:22.658272,0 days 00:50:33.340078,0.058440660507976125,0.012869500569946892,112,COMPLETE
38,-1.720654100890762,2025-11-21 13:49:49.887941,2025-11-21 14:40:54.968946,0 days 00:51:05.081005,0.06362935280228214,0.009803988878624634,75,COMPLETE
39,-0.8331457367374817,2025-11-21 13:49:52.760144,2025-11-21 14:40:07.902587,0 days 00:50:15.142443,0.0702607058920317,0.01001751870089758,113,COMPLETE
40,-1.2144851665597796,2025-11-21 13:50:06.961722,2025-11-21 14:40:07.723861,0 days 00:50:00.762139,0.06319504110193384,0.011912061924778693,112,COMPLETE
41,-0.9224980815706463,2025-11-21 13:50:12.004313,2025-11-21 14:40:11.775549,0 days 00:49:59.771236,0.05846175107460602,0.011058082157884657,112,COMPLETE
42,-1.4794368320702187,2025-11-21 13:50:27.088434,2025-11-21 14:41:30.543300,0 days 00:51:03.454866,0.0902184871280972,0.013251645227751734,167,COMPLETE
43,-1.0821281364829938,2025-11-21 13:50:28.925423,2025-11-21 14:41:15.251018,0 days 00:50:46.325595,0.09553471123628636,0.01962986742196382,167,COMPLETE
44,-1.5911774926012654,2025-11-21 13:50:34.632583,2025-11-21 14:42:10.301069,0 days 00:51:35.668486,0.038332197644355574,0.015326375943931629,110,COMPLETE
45,-0.9470690124342094,2025-11-21 13:50:37.277869,2025-11-21 14:42:05.751091,0 days 00:51:28.473222,0.08997733741997478,0.013073725716780074,112,COMPLETE
46,-1.4726471349784698,2025-11-21 13:51:09.719684,2025-11-21 14:42:13.952915,0 days 00:51:04.233231,0.08930052965455508,0.013052827845181466,113,COMPLETE
47,-1.1649955269056254,2025-11-21 13:51:11.497434,2025-11-21 14:42:18.129142,0 days 00:51:06.631708,0.0914857712180803,0.013797680541919405,109,COMPLETE
48,-1.393739462068063,2025-11-21 13:51:17.422670,2025-11-21 14:42:15.282917,0 days 00:50:57.860247,0.03578574655097841,0.013207661407387947,111,COMPLETE
49,-1.13991117080951,2025-11-21 13:51:22.986856,2025-11-21 14:42:11.950462,0 days 00:50:48.963606,0.09535582035291408,0.010935223968295712,111,COMPLETE
50,-1.0002980749733583,2025-11-21 14:21:13.637755,2025-11-21 14:53:02.187646,0 days 00:31:48.549891,0.23714273849128695,0.004330755431481438,141,COMPLETE
51,-1.3173064819429678,2025-11-21 14:21:15.985045,2025-11-21 14:52:59.840372,0 days 00:31:43.855327,0.28155440225705924,0.0040329359130093735,146,COMPLETE
52,-0.8879691722751536,2025-11-21 14:21:27.280407,2025-11-21 14:53:12.381693,0 days 00:31:45.101286,0.1979147067908173,0.005177498697106195,138,COMPLETE
53,-1.1001050921519153,2025-11-21 14:35:41.750987,2025-11-21 15:07:15.608447,0 days 00:31:33.857460,0.12800773040631044,0.03589788585832794,88,COMPLETE
54,-0.8983492382638112,2025-11-21 14:36:19.952964,2025-11-21 15:07:20.191542,0 days 00:31:00.238578,0.13272784709468685,0.0028407415835732083,88,COMPLETE
55,-1.1719347091106673,2025-11-21 14:39:38.494908,2025-11-21 15:29:41.900999,0 days 00:50:03.406091,0.025769984561883858,0.02378110420106456,128,COMPLETE
56,-1.1600469589291589,2025-11-21 14:40:07.280514,2025-11-21 15:29:35.462379,0 days 00:49:28.181865,0.024553399274607483,0.02045531007138048,128,COMPLETE
57,-1.0446838498512743,2025-11-21 14:40:07.725044,2025-11-21 15:29:46.577769,0 days 00:49:38.852725,0.022925181478595853,0.021208266306815996,128,COMPLETE
58,-0.7418266868259398,2025-11-21 14:40:07.904039,2025-11-21 15:29:49.006224,0 days 00:49:41.102185,0.023158422521531954,0.02320787315782932,125,COMPLETE
59,-0.8331573969008612,2025-11-21 14:40:09.966975,2025-11-21 15:29:41.820140,0 days 00:49:31.853165,0.02418091996526984,0.019986610863404263,128,COMPLETE
60,-1.5150760794219709,2025-11-21 14:40:11.776681,2025-11-21 15:29:34.155761,0 days 00:49:22.379080,0.025385298502682084,0.02130795955005772,130,COMPLETE
61,-1.3143282118553745,2025-11-21 14:40:15.848037,2025-11-21 15:29:47.896037,0 days 00:49:32.048000,0.027654812067062114,0.02148554994949922,124,COMPLETE
62,-1.1692465620960506,2025-11-21 14:40:19.709940,2025-11-21 15:29:48.984801,0 days 00:49:29.274861,0.023476460298991607,0.020306650286555865,124,COMPLETE
63,-0.8777694024845609,2025-11-21 14:40:22.660053,2025-11-21 15:29:40.865609,0 days 00:49:18.205556,0.029678590467992684,0.020992686283318657,127,COMPLETE
64,-1.072389008236127,2025-11-21 14:40:29.082042,2025-11-21 15:29:44.597195,0 days 00:49:15.515153,0.02486217412192884,0.0212904739383525,128,COMPLETE
65,-1.2831573590393839,2025-11-21 14:40:54.970713,2025-11-21 15:31:23.139001,0 days 00:50:28.168288,0.02358504214678742,0.02652622178525918,124,COMPLETE
66,-0.8172015750087782,2025-11-21 14:40:56.480563,2025-11-21 15:31:51.591476,0 days 00:50:55.110913,0.02055000124170558,0.021135259810672217,93,COMPLETE
67,-1.9594061616977625,2025-11-21 14:41:15.252598,2025-11-21 15:30:23.550510,0 days 00:49:08.297912,0.02489062846937252,0.021294811136635658,198,COMPLETE
68,-1.4438685494648047,2025-11-21 14:41:30.545081,2025-11-21 15:30:15.054776,0 days 00:48:44.509695,0.023472148313512943,0.01994131945472166,198,COMPLETE
69,-1.725942115453239,2025-11-21 14:42:05.753287,2025-11-21 15:32:14.193520,0 days 00:50:08.440233,0.024875477918463743,0.0010988820076550847,123,COMPLETE
70,-1.6527930301880551,2025-11-21 14:42:10.302851,2025-11-21 15:32:17.737305,0 days 00:50:07.434454,0.0244900012100399,0.02324193385346344,133,COMPLETE
71,-1.0401935316758788,2025-11-21 14:42:11.952690,2025-11-21 15:32:05.593406,0 days 00:49:53.640716,0.01945148483530678,0.020784913944069252,133,COMPLETE
72,-1.499682776266645,2025-11-21 14:42:13.954628,2025-11-21 15:32:16.309601,0 days 00:50:02.354973,0.02484714787464675,0.02149934456072267,128,COMPLETE
73,-2.442882519810449,2025-11-21 14:42:15.284171,2025-11-21 15:32:10.215880,0 days 00:49:54.931709,0.01978609013240105,0.023469240766505334,128,COMPLETE
74,-1.460882814739019,2025-11-21 14:42:18.130496,2025-11-21 15:32:16.612979,0 days 00:49:58.482483,0.016989751687069003,0.02235531726593084,127,COMPLETE
75,-1.450887519777282,2025-11-21 14:52:59.842426,2025-11-21 15:33:56.120274,0 days 00:40:56.277848,0.024139400868346317,0.021181976736056162,129,COMPLETE
76,-1.054283869798396,2025-11-21 14:53:02.188937,2025-11-21 15:34:04.432104,0 days 00:41:02.243167,0.0336379257762987,0.02296064818544629,127,COMPLETE
77,-1.4392240046264821,2025-11-21 14:53:12.383267,2025-11-21 15:33:56.192130,0 days 00:40:43.808863,0.024551666198877116,0.021000887040446666,128,COMPLETE
78,-1.5590486304196054,2025-11-21 15:07:15.609976,2025-11-21 15:35:10.684176,0 days 00:27:55.074200,0.01464521500133235,0.04982152598054393,155,COMPLETE
79,-1.1690522237185186,2025-11-21 15:07:20.192566,2025-11-21 15:35:10.268908,0 days 00:27:50.076342,0.01411083986588766,0.03802330154296301,152,COMPLETE
80,-1.1261160946766848,2025-11-21 15:29:34.158265,2025-11-21 16:17:11.326178,0 days 00:47:37.167913,0.04711638836113156,0.008309192685668956,102,COMPLETE
81,-0.6143135137517804,2025-11-21 15:29:35.464170,2025-11-21 16:17:15.387261,0 days 00:47:39.923091,0.044141501754715484,0.007526202471094905,94,COMPLETE
82,-0.4167496615261078,2025-11-21 15:29:40.867439,2025-11-21 16:17:14.187969,0 days 00:47:33.320530,0.006446152972457979,0.007900694547611007,92,COMPLETE
83,-1.7828024754089535,2025-11-21 15:29:41.821489,2025-11-21 16:17:42.534354,0 days 00:48:00.712865,0.0075030228460402065,0.0074546612224747205,94,COMPLETE
84,-0.9973552368226029,2025-11-21 15:29:41.902066,2025-11-21 16:17:34.400282,0 days 00:47:52.498216,0.04676456359926981,0.006229084931295776,93,COMPLETE
85,-2.078823991377213,2025-11-21 15:29:44.599043,2025-11-21 16:17:21.752523,0 days 00:47:37.153480,0.04531708054681958,0.007618295400650838,94,COMPLETE
86,-1.4679674334754158,2025-11-21 15:29:46.579431,2025-11-21 16:17:29.241740,0 days 00:47:42.662309,0.051224646916528276,0.008503250826753753,94,COMPLETE
87,-0.5593056815312768,2025-11-21 15:29:47.897386,2025-11-21 16:17:22.712138,0 days 00:47:34.814752,0.04929365971289322,0.008430401988055974,93,COMPLETE
88,-0.9739966211221397,2025-11-21 15:29:48.989686,2025-11-21 16:17:15.862173,0 days 00:47:26.872487,0.039868772258116685,0.007618620457739716,93,COMPLETE
89,-2.285339946103147,2025-11-21 15:29:49.007870,2025-11-21 16:17:32.935692,0 days 00:47:43.927822,0.007810740603931851,0.007646611130535843,96,COMPLETE
90,-0.965316002740273,2025-11-21 15:30:15.057269,2025-11-21 16:17:21.937372,0 days 00:47:06.880103,0.04912001014139111,0.007284385290729986,103,COMPLETE
91,-0.9143632635871416,2025-11-21 15:30:23.552778,2025-11-21 16:17:19.956397,0 days 00:46:56.403619,0.04395517939040868,0.007917280908268688,94,COMPLETE
92,-1.6669564893755446,2025-11-21 15:31:23.141604,2025-11-21 16:18:32.164274,0 days 00:47:09.022670,0.047802877209487074,0.007390216668541297,92,COMPLETE
93,-1.075994906778276,2025-11-21 15:31:51.593350,2025-11-21 16:18:44.693601,0 days 00:46:53.100251,0.007603475553395613,0.007571810542586727,82,COMPLETE
94,-1.2848427726132257,2025-11-21 15:32:05.595473,2025-11-21 16:18:40.279193,0 days 00:46:34.683720,0.007556283618295645,0.016091077432756142,96,COMPLETE
95,-0.7780202171592798,2025-11-21 15:32:10.217913,2025-11-21 16:18:29.332635,0 days 00:46:19.114722,0.043001784910510675,0.007436157707123674,103,COMPLETE
96,-0.5660351552753428,2025-11-21 15:32:14.195297,2025-11-21 16:18:21.747598,0 days 00:46:07.552301,0.003740610508880605,0.007452126433672376,93,COMPLETE
97,-1.7715877236293809,2025-11-21 15:32:16.310790,2025-11-21 16:18:42.223412,0 days 00:46:25.912622,0.007285919010769829,0.00010113812696677186,94,COMPLETE
98,-2.2061818361691623,2025-11-21 15:32:16.615105,2025-11-21 16:18:43.425348,0 days 00:46:26.810243,0.006863958198522919,0.01601914146063669,96,COMPLETE
99,-0.5072951801893647,2025-11-21 15:32:17.739152,2025-11-21 16:18:45.536366,0 days 00:46:27.797214,0.045604495142353436,0.008149310144983385,95,COMPLETE
