#{"t_start": 1757006787.5042503, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
2.6027825,1,920.554832,3.2642125359424505,"[2590.9548380471797, 790.5368013474791, 2740.0214508913314]",5966.225219624581,5966.225219624581,[95.93668087 54.03907372 69.83536899],[87.9449482  69.30163813 66.24694061],[92.  62.  64.5],[-3.93668087 37.96092628 22.16463101],[ 4.0550518  22.69836187 25.75305939],[ 0.  30.  27.5],92.0,10.0,0.025
9.829698,1,920.555076,3.360004535045679,"[2683.4125498269004, 1719.176061698214, 2703.4003631864803]",6470.006889833298,6470.006889833298,[99.62465103 66.66083361 71.76800144],[91.63291836 81.92339802 68.17957306],[94. 69. 69.],[-5.62465103 27.33916639 22.23199856],[ 2.36708164 12.07660198 25.82042694],[ 0. 25. 25.],94.0,10.0,0.05
-1.2408799,1,920.555311,1.6374301240467353,"[2517.0948727472896, 677.6636493530574, 2697.4330091670604]",5966.225219624581,5966.225219624581,[91.89291103 53.04114415 69.84330833],[83.90117836 68.30370855 66.25487995],[92.  62.  64.5],[ 0.10708897 38.95885585 22.15669167],[ 8.09882164 23.69629145 25.74512005],[ 0.  30.  27.5],92.0,10.0,0.025
3.8303862,1,920.555547,5.538172264437786,"[2911.808434915684, 1770.4558974812658, 2647.206009438869]",7059.080309821911,7059.080309821911,[95.4390002  73.28800179 76.13066757],[87.44726753 88.5505662  72.54223919],[96.  76.  73.5],[ 0.5609998  22.71199821 19.86933243],[ 8.55273247  7.4494338  23.45776081],[ 0.  20.  22.5],96.0,10.0,0.05
6.2942815,1,1364.567656,8.082996106925117,"[2992.7706383006416, 1141.5729693292353, 2742.9037146007404]",6470.006889833298,6470.006889833298,[97.24164303 62.22835328 77.61529815],[89.24991035 77.49091768 74.02686977],[94. 69. 69.],[-3.24164303 31.77164672 16.38470185],[ 4.75008965 16.50908232 19.97313023],[ 0. 25. 25.],94.0,10.0,0.05
5.5201674,1,1364.568214,22.794298466017228,"[2748.7827107847625, 1902.2113213853527, 2797.7593232958066]",7059.080309821911,7059.080309821911,[99.34003837 66.94879748 75.11927688],[91.3483057  82.21136189 71.5308485 ],[96.  76.  73.5],[-3.34003837 29.05120252 20.88072312],[ 4.6516943  13.78863811 24.4691515 ],[ 0.  20.  22.5],96.0,10.0,0.05
-1.7089822,1,1364.568478,6.694814467068002,"[2542.8245144318294, 449.74850984576625, 2371.6146955248123]",5457.454647076945,5457.454647076945,[96.23358162 50.         68.36840141],[88.24184895 54.10822868 64.77997303],[90.  57.5 60. ],[-6.23358162 40.         21.63159859],[ 1.75815105 35.89177132 25.22002697],[ 0.  32.5 30. ],90.0,10.0,0.025
0.5534223,1,1364.568723,13.808292263380729,"[2721.238343726021, 1685.6330661589354, 2767.3159070454717]",7134.70228632762,7134.70228632762,[100.50607212  71.93010069  78.71941412],[92.51433945 87.1926651  75.13098574],[96.   76.   74.75],[-4.50607212 24.06989931 17.28058588],[ 3.48566055  8.8073349  20.86901426],[ 0.   20.   21.25],96.0,10.0,0.075
5.3452015,1,1364.568989,9.309008077709821,"[2589.7463032825412, 993.9947337836176, 2721.383472037886]",5985.203343302533,5985.203343302533,[92.61899097 57.268389   69.0894407 ],[84.6272583  72.53095341 65.50101233],[92.  64.5 64.5],[-0.61899097 34.731611   22.9105593 ],[ 7.3727417  19.46904659 26.49898767],[ 0.  27.5 27.5],92.0,10.0,0.05
3.1293366,1,1364.569232,1.183453620096822,"[2716.308019535919, 1362.2289416088372, 2593.938221734957]",6470.006889833298,6470.006889833298,[96.88510235 67.34376217 77.38740814],[88.89336967 82.60632658 73.79897976],[94. 69. 69.],[-2.88510235 26.65623783 16.61259186],[ 5.10663033 11.39367342 20.20102024],[ 0. 25. 25.],94.0,10.0,0.05
4.032415,1,1364.569468,7.296627328917221,"[2692.7235147166966, 1863.9061865912256, 2787.1020071752173]",7059.080309821911,7059.080309821911,[100.87465294  72.47223593  77.58874738],[92.88292027 87.73480034 74.000319  ],[96.  76.  73.5],[-4.87465294 23.52776407 18.41125262],[ 3.11707973  8.26519966 21.999681  ],[ 0.  20.  22.5],96.0,10.0,0.05
0.9088846,1,1364.569702,4.2688891337577,"[2627.8329801785326, 1671.3470196792096, 2733.4043567591098]",6969.24198952707,6969.24198952707,[97.23155983 68.74172904 76.16871917],[89.23982716 84.00429344 72.58029079],[96.   74.75 73.5 ],[-1.23155983 27.25827096 19.83128083],[ 6.76017284 11.99570656 23.41970921],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-5.685693,1,1364.569942,-4.0482624375010285,"[2904.0577426387076, 1334.8358536337782, 2490.151452872826]",7134.70228632762,7134.70228632762,[97.28234775 66.24942519 81.89560735],[89.29061508 81.51198959 78.30717897],[96.   76.   74.75],[-1.28234775 29.75057481 14.10439265],[ 6.70938492 14.48801041 17.69282103],[ 0.   20.   21.25],96.0,10.0,0.075
9.397679,1,1364.570173,14.935851905105018,"[2706.69292357411, 2135.1934181519455, 2880.5837211903386]",7059.080309821911,7059.080309821911,[101.28499515  71.13637663  74.24330795],[93.29326248 86.39894104 70.65487957],[96.  76.  73.5],[-5.28499515 24.86362337 21.75669205],[ 2.70673752  9.60105896 25.34512043],[ 0.  20.  22.5],96.0,10.0,0.05
3.1547332,1,1811.837694,11.237729221965388,"[2928.171491614873, 1154.4620053318918, 2591.4848427854913]",6470.006889833298,6470.006889833298,[98.56129463 63.47632433 74.48905599],[90.56956196 78.73888874 70.90062761],[94. 69. 69.],[-4.56129463 30.52367567 19.51094401],[ 3.43043804 15.26111126 23.09937239],[ 0. 25. 25.],94.0,10.0,0.05
3.8527856,1,1811.838169,26.647084065928336,"[2825.8524540044355, 682.638584001181, 2707.309357833075]",5985.203343302533,5985.203343302533,[95.37276371 52.33961417 71.90064609],[87.38103104 67.60217857 68.31221771],[92.  64.5 64.5],[-3.37276371 39.66038583 20.09935391],[ 4.61896896 24.39782143 23.68778229],[ 0.  27.5 27.5],92.0,10.0,0.05
7.0231423,1,1811.838424,13.717956808061196,"[2729.5682903510547, 1867.811780336729, 2861.321703852038]",6969.24198952707,6969.24198952707,[98.30161579 69.47760083 76.18062103],[90.30988312 84.74016523 72.59219265],[96.   74.75 73.5 ],[-2.30161579 26.52239917 19.81937897],[ 5.69011688 11.25983477 23.40780735],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-8.957081,1,1811.838665,4.8512117425030645,"[2755.5921407502424, 1335.124429030318, 1878.3276808422747]",6556.29705722655,6556.29705722655,[96.84072311 69.3093207  75.99192035],[88.84899044 84.57188511 72.40349197],[94.   70.25 69.  ],[-2.84072311 24.6906793  18.00807965],[ 5.15100956  9.42811489 21.59650803],[ 0.   23.75 25.  ],94.0,10.0,0.075
2.8403435,1,1811.838901,12.149351658733945,"[2660.571236752582, 1665.940413099429, 2840.680757170629]",6969.24198952707,6969.24198952707,[95.34821041 68.74684788 76.50157058],[87.35647774 84.00941229 72.9131422 ],[96.   74.75 73.5 ],[ 0.65178959 27.25315212 19.49842942],[ 8.64352226 11.99058771 23.0868578 ],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-3.734226,1,1811.839141,-2.5507723071134234,"[2499.290590122923, 854.8819795068997, 2050.7242511851905]",5614.557066489893,5614.557066489893,[99.41495808 58.44562651 67.73501623],[91.4232254  73.70819092 64.14658785],[90.   62.5  61.25],[-9.41495808 31.55437349 22.26498377],[-1.4232254  16.29180908 25.85341215],[ 0.   27.5  28.75],90.0,10.0,0.075
-2.1210625,1,1811.839389,5.1755647774710685,"[2521.5425579877583, 476.80367087395837, 2343.3523914339207]",5457.454647076945,5457.454647076945,[94.9188319  50.         67.13793981],[86.92709923 56.60474777 63.54951143],[90.  57.5 60. ],[-4.9188319  40.         22.86206019],[ 3.07290077 33.39525223 26.45048857],[ 0.  32.5 30. ],90.0,10.0,0.025
6.929318,1,1811.839625,11.198207292039967,"[2937.190647959255, 1148.3354409341232, 2341.3770149334355]",6010.421851108581,6010.421851108581,[97.9344569  63.33410336 72.25422561],[89.94272423 78.59666777 68.66579723],[92.   65.75 64.5 ],[-5.9344569  28.66589664 19.74577439],[ 2.05727577 13.40333223 23.33420277],[ 0.   26.25 27.5 ],92.0,10.0,0.075
1.0370457,1,1811.839871,-3.011216677566963,"[2679.8392660976037, 1665.6662219459668, 2786.780714821689]",7059.080309821911,7059.080309821911,[102.81423099  70.07757641  77.3801359 ],[94.82249832 85.34014082 73.79170752],[96.  76.  73.5],[-6.81423099 25.92242359 18.6198641 ],[ 1.17750168 10.65985918 22.20829248],[ 0.  20.  22.5],96.0,10.0,0.05
6.9760847,1,1811.840109,21.911936535000656,"[2854.0795052478707, 958.6825313718675, 2589.974157182922]",5985.203343302533,5985.203343302533,[93.48799808 60.40064646 73.34191024],[85.49626541 75.66321087 69.75348186],[92.  64.5 64.5],[-1.48799808 31.59935354 18.65808976],[ 6.50373459 16.33678913 22.24651814],[ 0.  27.5 27.5],92.0,10.0,0.05
3.922932,1,2256.902664,15.160661204932886,"[2685.1573438686273, 720.1339935211905, 2814.70746211277]",5985.203343302533,5985.203343302533,[97.19994171 52.         70.93159855],[89.20820904 66.1564703  67.34317017],[92.  64.5 64.5],[-5.19994171 40.         21.06840145],[ 2.79179096 25.8435297  24.65682983],[ 0.  27.5 27.5],92.0,10.0,0.05
6.88847,1,2256.903155,33.53555431859505,"[2818.2560548523115, 1026.5816552313, 2156.4764497504343]",5614.557066489893,5614.557066489893,[88.09872539 61.58646227 67.92254198],[80.10699272 76.84902668 64.3341136 ],[90.   62.5  61.25],[ 1.90127461 28.41353773 22.07745802],[ 9.89300728 13.15097332 25.6658864 ],[ 0.   27.5  28.75],90.0,10.0,0.075
0.33690354,1,2256.903411,14.054860361323348,"[2757.7497412459466, 1552.2700365868188, 2848.7195740121674]",7134.70228632762,7134.70228632762,[99.28905495 69.14528109 79.6322521 ],[91.29732227 84.4078455  76.04382372],[96.   76.   74.75],[-3.28905495 26.85471891 16.3677479 ],[ 4.70267773 11.5921545  19.95617628],[ 0.   20.   21.25],96.0,10.0,0.075
3.0491204,1,2256.903645,7.900332190934485,"[2789.7889746665614, 1697.9724469035846, 2864.4865311045933]",7134.70228632762,7134.70228632762,[102.26720341  69.65885855  80.54292047],[94.27547073 84.92142296 76.95449209],[96.   76.   74.75],[-6.26720341 26.34114145 15.45707953],[ 1.72452927 11.07857704 19.04550791],[ 0.   20.   21.25],96.0,10.0,0.075
2.2093573,1,2256.90387,14.358708978841815,"[3235.0131686303807, 1347.762054713484, 2709.558130214637]",7134.70228632762,7134.70228632762,[101.518097    67.66710974  80.7855686 ],[93.52636433 82.92967415 77.19714022],[96.   76.   74.75],[-5.518097   28.33289026 15.2144314 ],[ 2.47363567 13.07032585 18.80285978],[ 0.   20.   21.25],96.0,10.0,0.075
5.8241177,1,2256.904107,3.27334527296736,"[2684.0993047463467, 1363.442831233656, 2762.9711106655645]",6435.691033749292,6435.691033749292,[91.84988792 63.76012351 73.11697376],[83.85815525 79.02268791 69.52854538],[94. 69. 69.],[ 2.15011208 30.23987649 20.88302624],[10.14184475 14.97731209 24.47145462],[ 0. 25. 25.],94.0,10.0,0.025
6.439098,1,2256.904337,11.614662824335465,"[3014.3764418901683, 1903.389131417498, 2676.3471885884646]",7134.70228632762,7134.70228632762,[101.57224186  71.20450236  81.22524583],[93.58050919 86.46706676 77.63681746],[96.   76.   74.75],[-5.57224186 24.79549764 14.77475417],[ 2.41949081  9.53293324 18.36318254],[ 0.   20.   21.25],96.0,10.0,0.075
4.0159626,1,2256.90459,15.214169713778487,"[2596.734709853493, 1454.1607049755687, 2643.2505524147973]",6435.691033749292,6435.691033749292,[95.13336952 66.44834067 72.98289192],[87.14163685 81.71090508 69.39446354],[94. 69. 69.],[-1.13336952 27.55165933 21.01710808],[ 6.85836315 12.28909492 24.60553646],[ 0. 25. 25.],94.0,10.0,0.025
3.4422002,1,2256.904827,0.430983442369266,"[2773.870983045967, 1211.991482795206, 2671.3579323905624]",6435.691033749292,6435.691033749292,[93.19504555 63.21548249 73.8546027 ],[85.20331287 78.47804689 70.26617432],[94. 69. 69.],[ 0.80495445 30.78451751 20.1453973 ],[ 8.79668713 15.52195311 23.73382568],[ 0. 25. 25.],94.0,10.0,0.025
6.6573997,1,2256.905059,28.569336420008504,"[2824.925694025297, 1767.5249438433957, 2936.580876381914]",7059.080309821911,7059.080309821911,[98.10420044 67.70607688 77.87633979],[90.11246777 82.96864128 74.28791142],[96.  76.  73.5],[-2.10420044 28.29392312 18.12366021],[ 5.88753223 13.03135872 21.71208858],[ 0.  20.  22.5],96.0,10.0,0.05
2.9850986,1,2700.206399,18.145759834449798,"[2609.1295863091027, 844.7083580042128, 2690.484982576171]",5966.225219624581,5966.225219624581,[94.80744942 55.67047192 70.19923628],[86.81571674 70.93303633 66.6108079 ],[92.  62.  64.5],[-2.80744942 36.32952808 21.80076372],[ 5.18428326 21.06696367 25.3891921 ],[ 0.  30.  27.5],92.0,10.0,0.025
8.84263,1,2700.2069,42.378184270424526,"[2841.8860061958103, 1978.2000994020536, 2863.2025540240566]",7059.080309821911,7059.080309821911,[102.90176399  69.86687638  77.1843108 ],[94.91003132 85.12944078 73.59588242],[96.  76.  73.5],[-6.90176399 26.13312362 18.8156892 ],[ 1.08996868 10.87055922 22.40411758],[ 0.  20.  22.5],96.0,10.0,0.05
3.1732137,1,2700.207158,17.22807411885586,"[2862.058068636278, 1258.213608040818, 2555.042361897694]",6470.006889833298,6470.006889833298,[101.34670551  65.09191062  73.09893024],[93.35497284 80.35447502 69.51050186],[94. 69. 69.],[-7.34670551 28.90808938 20.90106976],[ 0.64502716 13.64552498 24.48949814],[ 0. 25. 25.],94.0,10.0,0.05
5.2037597,1,2700.207396,13.104091854325706,"[2658.546060566991, 1229.141513709134, 2882.901353547898]",6435.691033749292,6435.691033749292,[95.4171973  60.36550309 72.58754146],[87.42546463 75.62806749 68.99911308],[94. 69. 69.],[-1.4171973  33.63449691 21.41245854],[ 6.57453537 18.37193251 25.00088692],[ 0. 25. 25.],94.0,10.0,0.025
5.967256,1,2700.207603,20.325964920561294,"[2966.7266806653697, 850.199147541505, 2552.1532779343893]",6010.421851108581,6010.421851108581,[96.36346443 57.35784604 70.59225977],[88.37173176 72.62041044 67.00383139],[92.   65.75 64.5 ],[-4.36346443 34.64215396 21.40774023],[ 3.62826824 19.37958956 24.99616861],[ 0.   26.25 27.5 ],92.0,10.0,0.075
4.0848603,1,2700.207815,7.358205487902415,"[2793.20524167391, 925.6154910763541, 2510.8698007057965]",5985.203343302533,5985.203343302533,[91.70389278 59.45439173 69.73315418],[83.71216011 74.71695614 66.1447258 ],[92.  64.5 64.5],[ 0.29610722 32.54560827 22.26684582],[ 8.28783989 17.28304386 25.8552742 ],[ 0.  27.5 27.5],92.0,10.0,0.05
5.335754,1,2700.208031,16.950416702545127,"[2662.270345708569, 1355.5258044723607, 2761.2875174912315]",6435.691033749292,6435.691033749292,[94.87136181 63.3943751  73.28198326],[86.87962914 78.65693951 69.69355488],[94. 69. 69.],[-0.87136181 30.6056249  20.71801674],[ 7.12037086 15.34306049 24.30644512],[ 0. 25. 25.],94.0,10.0,0.025
7.242844,1,2700.208241,22.45701373012127,"[3066.833897206397, 879.5776721775, 2074.79910764041]",5614.557066489893,5614.557066489893,[101.82112844  60.21480204  73.12979448],[93.82939577 75.47736645 69.5413661 ],[90.   62.5  61.25],[-11.82112844  29.78519796  16.87020552],[-3.82939577 14.52263355 20.4586339 ],[ 0.   27.5  28.75],90.0,10.0,0.075
3.1725585,1,2700.208455,3.6035418758260134,"[2568.1294107105978, 577.7775171184693, 2484.6886569057942]",5457.454647076945,5457.454647076945,[95.43369205 52.01817156 66.50631893],[87.44195938 67.28073597 62.91789055],[90.  57.5 60. ],[-5.43369205 37.98182844 23.49368107],[ 2.55804062 22.71926403 27.08210945],[ 0.  32.5 30. ],90.0,10.0,0.025
1.1737057,1,2700.208682,29.74304208250997,"[2651.316391730016, 1591.800314624351, 2807.9236710372115]",6969.24198952707,6969.24198952707,[96.58885486 67.29036786 76.69093692],[88.59712219 82.55293226 73.10250854],[96.   74.75 73.5 ],[-0.58885486 28.70963214 19.30906308],[ 7.40287781 13.44706774 22.89749146],[ 0.   21.25 22.5 ],96.0,10.0,0.025
6.9007688,1,3145.392078,25.046528364535426,"[2735.969604796764, 2054.9377739882075, 2755.3037235706006]",7059.080309821911,7059.080309821911,[101.86321266  72.6999519   75.96198642],[93.87147999 87.96251631 72.37355804],[96.  76.  73.5],[-5.86321266 23.3000481  20.03801358],[ 2.12852001  8.03748369 23.62644196],[ 0.  20.  22.5],96.0,10.0,0.05
2.852481,1,3145.392591,45.23066525483436,"[2634.0675473722104, 1683.9248970901535, 2850.045847573471]",6969.24198952707,6969.24198952707,[99.34483059 67.97253825 76.40276516],[91.35309792 83.23510265 72.81433678],[96.   74.75 73.5 ],[-3.34483059 28.02746175 19.59723484],[ 4.64690208 12.76489735 23.18566322],[ 0.   21.25 22.5 ],96.0,10.0,0.025
9.09886,1,3145.392854,26.326934090064594,"[2552.8574565650783, 670.8476281335226, 2819.9617284699807]",5539.624167258494,5539.624167258494,[92.57209213 50.78175904 65.23170936],[84.58035946 66.04432344 61.64328098],[90.   61.25 60.  ],[-2.57209213 39.21824096 24.76829064],[ 5.41964054 23.95567656 28.35671902],[ 0.   28.75 30.  ],90.0,10.0,0.05
-8.285604,1,3145.393105,4.818488365452781,"[2496.2949807846085, 552.3603572501831, 2100.701792269254]",5614.557066489893,5614.557066489893,[102.41391571  53.70971085  69.0061568 ],[94.42218304 68.97227526 65.41772842],[90.   62.5  61.25],[-12.41391571  36.29028915  20.9938432 ],[-4.42218304 21.02772474 24.58227158],[ 0.   27.5  28.75],90.0,10.0,0.075
-3.5653067,1,3145.393348,16.760658307615135,"[2619.2009113389613, 1684.9719588818905, 2576.1554036783086]",7134.70228632762,7134.70228632762,[97.31619842 71.76385619 77.67742717],[89.32446575 87.02642059 74.08899879],[96.   76.   74.75],[-1.31619842 24.23614381 18.32257283],[ 6.67553425  8.97357941 21.91100121],[ 0.   20.   21.25],96.0,10.0,0.075
-2.4313905,1,3145.393589,4.926814855037526,"[2524.4904861377136, 476.3167953664984, 2323.9553244908543]",5457.454647076945,5457.454647076945,[93.19280537 50.         67.19662178],[85.20107269 58.2281065  63.6081934 ],[90.  57.5 60. ],[-3.19280537 40.         22.80337822],[ 4.79892731 31.7718935  26.3918066 ],[ 0.  32.5 30. ],90.0,10.0,0.025
4.6700926,1,3145.393827,21.620509462541683,"[2662.7444313604565, 1412.666959837945, 2660.8323835737638]",6435.691033749292,6435.691033749292,[95.83275135 65.16264464 72.35137832],[87.84101868 80.42520905 68.76294994],[94. 69. 69.],[-1.83275135 28.83735536 21.64862168],[ 6.15898132 13.57479095 25.23705006],[ 0. 25. 25.],94.0,10.0,0.025
4.304746,1,3145.394064,26.76176000679262,"[2642.3028630060385, 748.808693347879, 2831.94452127028]",5966.225219624581,5966.225219624581,[94.86152275 53.80106284 70.2523464 ],[86.86979008 69.06362724 66.66391802],[92.  62.  64.5],[-2.86152275 38.19893716 21.7476536 ],[ 5.13020992 22.93637276 25.33608198],[ 0.  30.  27.5],92.0,10.0,0.025
4.241126,1,3145.394304,7.844667761829305,"[2796.556520113802, 737.7203454299059, 2240.2897362596796]",5539.624167258494,5539.624167258494,[99.91140755 56.98945166 67.79273975],[91.91967487 72.25201607 64.20431137],[90.   61.25 60.  ],[-9.91140755 33.01054834 22.20726025],[-1.91967487 17.74798393 25.79568863],[ 0.   28.75 30.  ],90.0,10.0,0.05
2.1955688,1,3145.39454,31.938610989519045,"[2595.9264982319282, 506.2545545405082, 2475.095771649852]",5457.454647076945,5457.454647076945,[84.78340061 50.         67.03825224],[76.79166794 61.21021986 63.44982386],[90.  57.5 60. ],[ 5.21659939 40.         22.96174776],[13.20833206 28.78978014 26.55017614],[ 0.  32.5 30. ],90.0,10.0,0.025
1.1242763,1,3611.893897,26.17080460462805,"[2514.956888713839, 559.1161228730397, 2444.738501400983]",5457.454647076945,5457.454647076945,[93.44163807 52.23898531 67.79268015],[85.4499054  67.50154972 64.20425177],[90.  57.5 60. ],[-3.44163807 37.76101469 22.20731985],[ 4.5500946  22.49845028 25.79574823],[ 0.  32.5 30. ],90.0,10.0,0.025
3.9432445,1,3611.894423,49.17390974751566,"[2932.350088002542, 1654.8440265674733, 2656.862125890712]",6969.24198952707,6969.24198952707,[95.49130447 71.26229502 79.5284971 ],[87.4995718  86.52485943 75.94006872],[96.   74.75 73.5 ],[ 0.50869553 24.73770498 16.4715029 ],[ 8.5004282   9.47514057 20.05993128],[ 0.   21.25 22.5 ],96.0,10.0,0.025
2.2915952,1,3611.894695,28.618529195963422,"[2526.912633599244, 1301.1145580576085, 2755.1438228526076]",6435.691033749292,6435.691033749292,[99.22281082 61.75997998 71.51673687],[91.23107815 77.02254438 67.92830849],[94. 69. 69.],[-5.22281082 32.24002002 22.48326313],[ 2.76892185 16.97745562 26.07169151],[ 0. 25. 25.],94.0,10.0,0.025
