,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0. 30. 30.],[1532.04575966  692.02892674 2338.86822677],[1526.9883128   688.86783317 2330.85965464]
1,10,90.0,0.05,[ 0.   28.75 30.  ],[1527.6300604   734.10812751 2338.86822677],[1522.49763479  730.22316818 2330.85965464]
2,10,90.0,0.075,[ 0.   27.5  28.75],[1521.67587611  787.35459275 2380.07865489],[1516.48534836  784.49831277 2370.61834237]
3,10,92.0,0.025,[ 0.   28.75 27.5 ],[1908.32002982  903.64332625 2419.6509189 ],[1902.04986527  899.02548561 2408.20700412]
4,10,92.0,0.05,[ 0.  27.5 27.5],[1861.41910501  948.1496595  2419.6509189 ],[1855.15101885  943.70385169 2408.20700412]
5,10,92.0,0.075,[ 0.   26.25 27.5 ],[1816.95202757 1018.10378706 2419.6509189 ],[1810.26586351 1014.56283539 2408.20700412]
6,10,94.0,0.025,[ 0. 25. 25.],[2155.3810531  1216.33922971 2493.92563261],[2146.9678247  1211.71772624 2482.26426593]
7,10,94.0,0.05,[ 0. 25. 25.],[2130.05705347 1232.14242017 2493.92563261],[2120.93205094 1227.79983903 2482.26426593]
8,10,94.0,0.075,[ 0.  22.5 25. ],[2045.89437126 1317.5629303  2493.92563261],[2035.45742843 1313.17577151 2482.26426593]
9,10,96.0,0.025,[ 0.   21.25 22.5 ],[2316.4648309  1554.14069901 2559.1497244 ],[2308.84941513 1548.88007525 2549.27399069]
10,10,96.0,0.05,[ 0.  20.  22.5],[2275.6050685  1596.94286008 2559.1497244 ],[2268.02528058 1591.6313182  2549.27399069]
11,10,96.0,0.075,[ 0.   18.75 22.5 ],[2222.72582475 1641.96779571 2559.1497244 ],[2215.20142388 1636.37722474 2549.27399069]
