number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
31,-1.3216703468964106,2025-11-22 10:29:29.107661,2025-11-22 12:48:22.280242,0 days 02:18:53.172581,0.06723547258964663,0.007158699800025584,100,1,COMPLETE
32,-3.587037813022584,2025-11-22 10:29:32.750555,2025-11-22 12:48:24.538096,0 days 02:18:51.787541,0.07196757643038837,0.001919696654152193,96,1,COMPLETE
33,-0.9242357724401357,2025-11-22 10:29:44.689407,2025-11-22 12:48:19.590778,0 days 02:18:34.901371,0.06831408562244046,0.002163332497270603,102,1,COMPLETE
34,0.28243447502135116,2025-11-22 10:29:51.821752,2025-11-22 12:48:11.538468,0 days 02:18:19.716716,0.07158066519959667,0.0018664148188307212,101,1,COMPLETE
35,-0.49665803495389094,2025-11-22 10:29:51.988227,2025-11-22 12:48:20.103671,0 days 02:18:28.115444,0.08586557313717201,0.0021798413676008144,104,1,COMPLETE
36,-1.6386702010697425,2025-11-22 10:29:57.977030,2025-11-22 12:47:15.261815,0 days 02:17:17.284785,0.06282928311427882,0.006030697466201843,180,1,COMPLETE
37,-1.918203067568284,2025-11-22 10:30:08.967108,2025-11-22 12:47:56.147287,0 days 02:17:47.180179,0.06545994662404142,0.007611313015547268,104,1,COMPLETE
38,-0.8988067946994547,2025-11-22 10:30:12.082858,2025-11-22 12:48:37.323794,0 days 02:18:25.240936,0.06355337942294552,0.008059577607820712,98,1,COMPLETE
39,-0.5594431876212209,2025-11-22 10:30:29.006905,2025-11-22 12:47:30.815313,0 days 02:17:01.808408,0.07007537042813539,0.002141775913282116,96,1,COMPLETE
40,-1.4083005681130594,2025-11-22 10:30:50.136978,2025-11-22 12:48:25.600048,0 days 02:17:35.463070,0.07905386393473005,0.0021936544950802665,105,1,COMPLETE
41,-1.764019245051129,2025-11-22 10:30:54.270891,2025-11-22 12:48:26.890277,0 days 02:17:32.619386,0.07732297824425223,0.001949406596597862,96,1,COMPLETE
42,-0.6043656436477098,2025-11-22 10:30:56.914980,2025-11-22 12:48:03.770333,0 days 02:17:06.855353,0.0666861943207432,0.0018556663109474628,101,1,COMPLETE
43,-2.043041808188692,2025-11-22 10:31:07.850457,2025-11-22 12:48:25.866676,0 days 02:17:18.016219,0.05999474572285611,0.0015343535563936224,99,1,COMPLETE
44,-1.095542325320644,2025-11-22 10:31:20.558902,2025-11-22 12:46:45.750971,0 days 02:15:25.192069,0.07023529445761267,0.00820094930034283,182,1,COMPLETE
45,-5.144605195074504,2025-11-22 10:31:31.430750,2025-11-22 12:48:15.722749,0 days 02:16:44.291999,0.0647046667967492,0.0019056551912403445,99,1,COMPLETE
46,-0.34861229142625905,2025-11-22 10:31:36.852263,2025-11-22 12:48:33.123725,0 days 02:16:56.271462,0.06500355373239401,0.0021922168381475465,103,1,COMPLETE
47,-1.1698889520971603,2025-11-22 10:31:39.645979,2025-11-22 12:46:57.070150,0 days 02:15:17.424171,0.0854016464938452,0.0021818767213244586,179,1,COMPLETE
48,-1.248481959823915,2025-11-22 10:31:49.355450,2025-11-22 12:48:24.911992,0 days 02:16:35.556542,0.170636412086613,0.0018211394528528276,98,1,COMPLETE
49,0.5923573075677661,2025-11-22 10:32:08.870589,2025-11-22 12:49:07.518196,0 days 02:16:58.647607,0.07033986744991043,0.0022893902895609764,101,1,COMPLETE
50,0.08448589765279371,2025-11-22 12:31:15.188668,2025-11-22 12:51:06.303409,0 days 00:19:51.114741,0.07381026159260569,0.0019451828551979207,98,1,COMPLETE
51,-2.0372015951181113,2025-11-22 12:32:01.036137,2025-11-22 12:50:52.062600,0 days 00:18:51.026463,0.07145773693704356,0.007385809499059962,96,1,COMPLETE
52,-0.516447974591259,2025-11-22 12:46:45.753692,2025-11-22 13:54:10.468028,0 days 01:07:24.714336,0.18330917778093364,0.001133199443201279,78,1,COMPLETE
53,-0.05476925000268883,2025-11-22 12:46:57.072550,2025-11-22 13:54:26.318494,0 days 01:07:29.245944,0.15238704281120385,0.003340152275791067,80,1,COMPLETE
54,-0.8574868540396039,2025-11-22 12:47:13.517959,2025-11-22 13:54:01.294459,0 days 01:06:47.776500,0.03886021432909552,0.003700549992750396,116,1,COMPLETE
