number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
31,-2.0475608310995033,2025-11-22 09:17:37.952104,2025-11-22 11:23:49.743796,0 days 02:06:11.791692,0.8001942946637464,0.008741624405606356,45,1,COMPLETE
32,-0.8715712066815529,2025-11-22 09:17:41.425281,2025-11-22 11:23:14.592797,0 days 02:05:33.167516,0.5475979078423028,0.009207742214561016,62,1,COMPLETE
33,-0.06807691633270338,2025-11-22 09:17:43.958712,2025-11-22 11:23:55.629127,0 days 02:06:11.670415,0.8037224779972945,0.00819928929915071,45,1,COMPLETE
34,-0.9876347873344109,2025-11-22 09:17:50.407082,2025-11-22 11:24:54.686900,0 days 02:07:04.279818,0.7715369384417445,0.008786001247207326,46,1,COMPLETE
35,-0.7731553204328587,2025-11-22 09:17:52.802775,2025-11-22 11:24:09.039150,0 days 02:06:16.236375,0.7709862280937239,0.007438138808781191,64,1,COMPLETE
36,0.42150461698559777,2025-11-22 09:18:08.156932,2025-11-22 11:25:10.470634,0 days 02:07:02.313702,0.6149490997559621,0.008066103969171404,49,1,COMPLETE
37,-0.2083819494481142,2025-11-22 09:18:10.248816,2025-11-22 11:25:12.992383,0 days 02:07:02.743567,0.8029476905930152,0.013320172096719075,38,1,COMPLETE
38,-1.9736692958369897,2025-11-22 09:18:21.405270,2025-11-22 11:25:09.804925,0 days 02:06:48.399655,0.7862087768731839,0.007764950604996449,40,1,COMPLETE
39,-0.6101143808539146,2025-11-22 09:18:32.422476,2025-11-22 11:24:42.998022,0 days 02:06:10.575546,0.5807702939753671,0.007135434334836841,45,1,COMPLETE
40,-0.9016099030386231,2025-11-22 09:18:38.233666,2025-11-22 11:24:52.653731,0 days 02:06:14.420065,0.7415924210632727,0.007276439917742507,45,1,COMPLETE
41,0.4390688558701173,2025-11-22 09:18:40.855692,2025-11-22 11:23:06.787755,0 days 02:04:25.932063,0.48847100250203684,0.007827432518503648,50,1,COMPLETE
42,-0.2412270933704768,2025-11-22 09:18:49.859290,2025-11-22 11:23:36.201221,0 days 02:04:46.341931,0.4835745602363254,0.008401770275744366,46,1,COMPLETE
43,-0.22635684946854223,2025-11-22 09:18:50.892760,2025-11-22 11:23:29.465158,0 days 02:04:38.572398,0.8253792127767934,0.008743877551944427,42,1,COMPLETE
44,-0.37799355991856165,2025-11-22 09:18:55.089420,2025-11-22 11:25:07.381369,0 days 02:06:12.291949,0.7205140199971768,0.008674405332442525,43,1,COMPLETE
45,-0.5175217662307925,2025-11-22 09:19:06.790583,2025-11-22 11:25:02.752176,0 days 02:05:55.961593,0.8519363092027471,0.0078124028714873775,43,1,COMPLETE
46,-0.04113870375839686,2025-11-22 09:19:54.116320,2025-11-22 11:24:13.250434,0 days 02:04:19.134114,0.8701350179295988,0.00970654156283852,40,1,COMPLETE
