number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
37,-1.6342899181484427,2025-11-21 13:50:03.144558,2025-11-21 14:39:49.541636,0 days 00:49:46.397078,0.04630796128868579,0.019034724833480034,162,COMPLETE
38,-1.6212709405516899,2025-11-21 13:50:17.468376,2025-11-21 14:41:23.430582,0 days 00:51:05.962206,0.004370759954175684,0.0024164366413777227,158,COMPLETE
39,-1.1804459564889274,2025-11-21 13:50:27.182577,2025-11-21 14:41:25.121903,0 days 00:50:57.939326,0.0052534148687010795,0.0023512911786728956,159,COMPLETE
40,-2.456790271150411,2025-11-21 13:50:44.798439,2025-11-21 14:41:32.589094,0 days 00:50:47.790655,0.004743810863780267,0.00231186488176609,158,COMPLETE
41,-0.5713662737354087,2025-11-21 13:50:50.606071,2025-11-21 14:41:36.875581,0 days 00:50:46.269510,0.005615399354829531,0.0023690904318044484,158,COMPLETE
42,0.12987300422089437,2025-11-21 13:51:00.650679,2025-11-21 14:41:38.594074,0 days 00:50:37.943395,0.01814168936894867,0.0024943901290172955,159,COMPLETE
43,-4.060726085245503,2025-11-21 13:51:01.811828,2025-11-21 14:41:34.812140,0 days 00:50:33.000312,0.005302374404179945,0.00214174914147135,159,COMPLETE
44,-0.029199134997250197,2025-11-21 13:51:10.246538,2025-11-21 14:41:36.127597,0 days 00:50:25.881059,0.006382724612561559,0.002295915948295061,156,COMPLETE
45,-2.4925913069176304,2025-11-21 13:51:13.662514,2025-11-21 14:41:40.621712,0 days 00:50:26.959198,0.0046868272659449164,0.0022190048058508332,158,COMPLETE
46,-1.7018202025549467,2025-11-21 13:51:16.049272,2025-11-21 14:41:24.594979,0 days 00:50:08.545707,0.00593789876763146,0.0025230747303654874,162,COMPLETE
47,-0.5839918239958538,2025-11-21 13:51:19.567310,2025-11-21 14:41:27.689992,0 days 00:50:08.122682,0.005383810838194396,0.0023127623107816785,161,COMPLETE
48,-1.462739090130377,2025-11-21 13:51:31.835219,2025-11-21 14:41:21.594636,0 days 00:49:49.759417,0.005675127075566466,0.0024209964157789997,161,COMPLETE
49,-2.3604171513966485,2025-11-21 13:51:37.909783,2025-11-21 14:41:25.162591,0 days 00:49:47.252808,0.005748074683625327,0.002498086779315387,159,COMPLETE
50,-1.8420625024228052,2025-11-21 14:34:14.897143,2025-11-21 15:13:25.240013,0 days 00:39:10.342870,0.02109107225941052,0.004797405402364679,199,COMPLETE
51,-3.2176841321969682,2025-11-21 14:34:15.882704,2025-11-21 15:13:38.674688,0 days 00:39:22.791984,0.017392918627632085,0.0033357312165071015,172,COMPLETE
52,-3.5755196161237124,2025-11-21 14:34:16.486356,2025-11-21 15:13:22.199763,0 days 00:39:05.713407,0.019191118118097966,0.005015244667888134,196,COMPLETE
53,-0.7747620554514043,2025-11-21 14:34:20.926765,2025-11-21 15:13:22.795845,0 days 00:39:01.869080,0.020141869004939257,0.006038118271663933,194,COMPLETE
54,-1.2170855955502171,2025-11-21 14:34:22.790545,2025-11-21 15:13:28.589029,0 days 00:39:05.798484,0.019879011929201686,0.004873559354242655,199,COMPLETE
55,-6.8819576645085325,2025-11-21 14:34:25.124526,2025-11-21 15:13:20.868098,0 days 00:38:55.743572,0.018923998515646155,0.004528126893795554,197,COMPLETE
56,-2.963404740157301,2025-11-21 14:34:26.648173,2025-11-21 15:13:18.284490,0 days 00:38:51.636317,0.01715695758248259,0.004484395474638173,199,COMPLETE
57,-1.9043820875507693,2025-11-21 14:39:36.056951,2025-11-21 15:29:21.828229,0 days 00:49:45.771278,0.007815489089950884,0.0012495523027679692,146,COMPLETE
58,0.12898292190216878,2025-11-21 14:39:49.543510,2025-11-21 15:29:46.894941,0 days 00:49:57.351431,0.008821993803050933,0.001529567111724142,129,COMPLETE
59,-2.664438293578454,2025-11-21 14:39:52.275662,2025-11-21 15:28:48.554532,0 days 00:48:56.278870,0.007439189333316991,0.001581283410744735,177,COMPLETE
60,-0.035198504743603566,2025-11-21 14:39:54.440598,2025-11-21 15:29:30.418234,0 days 00:49:35.977636,0.008424206988995623,0.0014992136889797974,131,COMPLETE
61,-1.1592054205937248,2025-11-21 14:39:57.390225,2025-11-21 15:28:43.772657,0 days 00:48:46.382432,0.00783436762686968,0.0013636789194487466,180,COMPLETE
62,-0.3729803897551687,2025-11-21 14:39:59.426567,2025-11-21 15:29:22.462149,0 days 00:49:23.035582,0.008105439571011406,0.0014687236373613422,130,COMPLETE
63,-1.8905061603070938,2025-11-21 14:41:21.596900,2025-11-21 15:29:28.711216,0 days 00:48:07.114316,0.007852225285854678,0.0016122299428537757,131,COMPLETE
64,-2.857660374040548,2025-11-21 14:41:23.432707,2025-11-21 15:30:32.585763,0 days 00:49:09.153056,0.008142873713037358,0.0012618513885541806,132,COMPLETE
65,-0.04520029733675139,2025-11-21 14:41:24.596288,2025-11-21 15:30:43.173325,0 days 00:49:18.577037,0.00821007876474826,0.0014976499298157352,131,COMPLETE
66,-2.7302130725708245,2025-11-21 14:41:25.123063,2025-11-21 15:29:34.854631,0 days 00:48:09.731568,0.00849871866974946,0.001230695828410569,132,COMPLETE
67,-2.087871768699265,2025-11-21 14:41:25.163582,2025-11-21 15:30:41.507274,0 days 00:49:16.343692,0.0031095718424293123,0.0014883500732029613,131,COMPLETE
68,-0.90288014097064,2025-11-21 14:41:27.691408,2025-11-21 15:30:01.970846,0 days 00:48:34.279438,0.007257661163845463,0.0014600828593821983,182,COMPLETE
69,-1.2815233641434849,2025-11-21 14:41:32.591345,2025-11-21 15:30:39.914733,0 days 00:49:07.323388,0.009049360734440424,0.001434206054105124,130,COMPLETE
70,-2.2308493361917403,2025-11-21 14:41:34.813447,2025-11-21 15:29:49.134304,0 days 00:48:14.320857,0.008045106712442417,0.0007685443580924668,128,COMPLETE
71,-3.3303001675919073,2025-11-21 14:41:36.129128,2025-11-21 15:30:09.003930,0 days 00:48:32.874802,0.00789444147027381,0.001528971460637259,179,COMPLETE
72,-1.0130781600167016,2025-11-21 14:41:36.876519,2025-11-21 15:30:36.668994,0 days 00:48:59.792475,0.008247667018162317,0.0015259367150039897,128,COMPLETE
73,-2.253110389375289,2025-11-21 14:41:38.595268,2025-11-21 15:29:50.633036,0 days 00:48:12.037768,0.00869736959134853,0.0014157885872167013,182,COMPLETE
74,-2.772755947056813,2025-11-21 14:41:40.622667,2025-11-21 15:30:38.512485,0 days 00:48:57.889818,0.007655343253765593,0.0012759006259969127,129,COMPLETE
75,-1.1124289288469325,2025-11-21 15:13:18.287009,2025-11-21 15:55:02.639341,0 days 00:41:44.352332,0.011417339065819626,0.0008090428484486565,108,COMPLETE
76,-1.916798116906427,2025-11-21 15:13:20.869837,2025-11-21 15:54:57.821284,0 days 00:41:36.951447,0.0122274524051277,0.000770557189990955,105,COMPLETE
77,-3.1838765343163278,2025-11-21 15:13:22.200839,2025-11-21 15:55:06.265070,0 days 00:41:44.064231,0.03533446389689451,0.0008553251663467527,109,COMPLETE
78,-2.5053967767343504,2025-11-21 15:13:22.797380,2025-11-21 15:55:07.082113,0 days 00:41:44.284733,0.03270592585261784,0.0008711983894754051,108,COMPLETE
79,-1.2511033081471759,2025-11-21 15:13:25.241802,2025-11-21 15:55:06.487410,0 days 00:41:41.245608,0.03760566024659877,0.0008621473496537169,103,COMPLETE
80,-2.158370003395091,2025-11-21 15:13:28.592342,2025-11-21 15:55:07.948600,0 days 00:41:39.356258,0.035486343151995434,0.000835970385925451,108,COMPLETE
81,-2.7333492820990504,2025-11-21 15:13:38.676448,2025-11-21 15:55:08.993837,0 days 00:41:30.317389,0.03564608889375558,0.0008418833268188362,109,COMPLETE
82,-1.913250379717303,2025-11-21 15:28:43.774674,2025-11-21 16:14:46.834731,0 days 00:46:03.060057,0.0038437162756604624,0.0034461769766518427,94,COMPLETE
83,-5.168470346331386,2025-11-21 15:28:48.557476,2025-11-21 16:14:16.567647,0 days 00:45:28.010171,0.01490004749207481,0.003432960907862547,141,COMPLETE
84,-3.5694322086578834,2025-11-21 15:29:21.831348,2025-11-21 16:14:55.769644,0 days 00:45:33.938296,0.0038892466540143534,0.0033448391284415214,88,COMPLETE
