number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
32,-0.6437742553835244,2025-11-21 07:33:02.196165,2025-11-21 08:34:58.039697,0 days 01:01:55.843532,0.23822862378155266,0.004427484667211353,62,COMPLETE
33,-0.7925666818508152,2025-11-21 07:33:08.859350,2025-11-21 08:35:03.161701,0 days 01:01:54.302351,0.21279311893202274,0.004377635335269544,60,COMPLETE
34,-0.4492878288908403,2025-11-21 07:33:16.061090,2025-11-21 08:34:57.518343,0 days 01:01:41.457253,0.23786443037168506,0.004244019519945204,62,COMPLETE
35,-0.8706792569034281,2025-11-21 07:33:28.974016,2025-11-21 08:35:06.069366,0 days 01:01:37.095350,0.2043263399103739,0.003526937642330722,64,COMPLETE
36,-0.7558798718968209,2025-11-21 07:33:30.846138,2025-11-21 08:34:38.867815,0 days 01:01:08.021677,0.15417365027256366,0.005659905045878922,66,COMPLETE
37,-0.7091566669582319,2025-11-21 07:33:37.460744,2025-11-21 08:34:59.257927,0 days 01:01:21.797183,0.2095962011889283,0.003196567783266751,64,COMPLETE
38,-0.5994471862738466,2025-11-21 07:33:38.479934,2025-11-21 08:34:59.733614,0 days 01:01:21.253680,0.2249045061577575,0.004185131297870886,61,COMPLETE
39,-0.9252008111018617,2025-11-21 07:33:46.099446,2025-11-21 08:35:00.176640,0 days 01:01:14.077194,0.24365466748626802,0.0039493086036750365,59,COMPLETE
40,-0.5767282829706852,2025-11-21 07:33:53.902281,2025-11-21 08:34:52.317617,0 days 01:00:58.415336,0.22251784094316412,0.004510431357949411,65,COMPLETE
41,-0.9336568176598159,2025-11-21 07:34:07.972734,2025-11-21 08:35:13.596304,0 days 01:01:05.623570,0.2557113825108838,0.003982419817360253,58,COMPLETE
42,-1.014964650952726,2025-11-21 07:34:27.055484,2025-11-21 08:34:46.288324,0 days 01:00:19.232840,0.31334177893848963,0.003979408493909007,63,COMPLETE
43,-0.8441261376349325,2025-11-21 07:34:28.625790,2025-11-21 08:34:59.395560,0 days 01:00:30.769770,0.26004320936623637,0.0033395992593752504,62,COMPLETE
44,-0.5520017710493668,2025-11-21 07:34:28.857367,2025-11-21 08:34:46.299937,0 days 01:00:17.442570,0.19611797226402566,0.003683171145008114,65,COMPLETE
45,-1.0082388386036873,2025-11-21 07:34:29.965342,2025-11-21 08:35:06.842536,0 days 01:00:36.877194,0.22824414815733315,0.003977786187682466,67,COMPLETE
46,-1.0603402975543597,2025-11-21 07:34:51.186443,2025-11-21 08:35:20.979630,0 days 01:00:29.793187,0.25730939004659653,0.0034252748890303423,58,COMPLETE
47,-0.7473858557673054,2025-11-21 07:34:51.287438,2025-11-21 08:34:59.477187,0 days 01:00:08.189749,0.19125738372645018,0.0043812327937367175,62,COMPLETE
48,-0.7744800527002227,2025-11-21 07:35:00.682247,2025-11-21 08:34:51.035318,0 days 00:59:50.353071,0.22083729666365873,0.0039866736945150085,62,COMPLETE
49,-0.7830892553247389,2025-11-21 07:35:03.007502,2025-11-21 08:35:11.221303,0 days 01:00:08.213801,0.22401543705297952,0.003928697348434549,62,COMPLETE
50,-0.7211161693313858,2025-11-21 08:34:29.495252,2025-11-21 08:40:56.447217,0 days 00:06:26.951965,0.7907604983357275,0.002272143537680792,4,COMPLETE
51,-0.7047338304085444,2025-11-21 08:34:38.869809,2025-11-21 08:59:37.277542,0 days 00:24:58.407733,0.4364586778835892,0.00228053015218674,47,COMPLETE
52,-0.940891035600241,2025-11-21 08:34:46.290295,2025-11-21 09:03:17.853391,0 days 00:28:31.563096,0.4917721516326658,0.0020053786857821597,47,COMPLETE
53,-1.0035770934517123,2025-11-21 08:34:46.301277,2025-11-21 09:02:55.889159,0 days 00:28:09.587882,0.4545341676953611,0.0023494569407419104,78,COMPLETE
54,-0.5444943257922003,2025-11-21 08:34:50.532251,2025-11-21 09:03:15.124263,0 days 00:28:24.592012,0.48650925525048283,0.0021613454252961246,46,COMPLETE
55,-1.106964696148684,2025-11-21 08:34:51.036408,2025-11-21 09:03:31.609671,0 days 00:28:40.573263,0.4411839098826364,0.014628713805998146,49,COMPLETE
56,-1.5149229182035837,2025-11-21 08:34:52.319195,2025-11-21 09:02:41.769728,0 days 00:27:49.450533,0.5231691945543591,0.0018233571424330908,79,COMPLETE
57,-0.9248380759325838,2025-11-21 08:34:52.573437,2025-11-21 09:03:27.019548,0 days 00:28:34.446111,0.42347922580866,0.0023730073684992423,46,COMPLETE
58,-1.0085563058868539,2025-11-21 08:34:56.716636,2025-11-21 09:02:39.209808,0 days 00:27:42.493172,0.4240406811438174,0.002074308358853122,80,COMPLETE
59,-0.8129628652617404,2025-11-21 08:34:57.359353,2025-11-21 09:03:36.013461,0 days 00:28:38.654108,0.4361598881773977,0.0022211153552630014,49,COMPLETE
60,-0.7616844022122534,2025-11-21 08:34:57.519560,2025-11-21 09:02:40.562331,0 days 00:27:43.042771,0.4442869601307409,0.013577768133816373,80,COMPLETE
61,-0.7006568211492075,2025-11-21 08:34:58.041129,2025-11-21 09:02:43.255517,0 days 00:27:45.214388,0.4440249619568794,0.0021900688547200793,80,COMPLETE
62,-0.7160825394227097,2025-11-21 08:34:59.259421,2025-11-21 09:02:37.348720,0 days 00:27:38.089299,0.46266710998772903,0.00232740965374015,81,COMPLETE
63,-1.0943060274590706,2025-11-21 08:34:59.396834,2025-11-21 09:03:25.048450,0 days 00:28:25.651616,0.44641964987173394,0.002151001156673747,48,COMPLETE
64,-0.4898683494882581,2025-11-21 08:34:59.478196,2025-11-21 09:03:16.842113,0 days 00:28:17.363917,0.4453233577225383,0.0021146969594316068,47,COMPLETE
65,-0.6392096790037112,2025-11-21 08:34:59.734668,2025-11-21 09:02:48.176314,0 days 00:27:48.441646,0.48143414361022296,0.002024768618990215,81,COMPLETE
66,-0.614963642019443,2025-11-21 08:35:00.177569,2025-11-21 09:03:19.000556,0 days 00:28:18.822987,0.45486140284468146,0.002169233123154277,48,COMPLETE
67,-0.9227940282819356,2025-11-21 08:35:03.163396,2025-11-21 09:02:57.783466,0 days 00:27:54.620070,0.43871230968394476,0.015746352082845277,82,COMPLETE
68,-0.7518370651644375,2025-11-21 08:35:06.071511,2025-11-21 09:03:24.932864,0 days 00:28:18.861353,0.43247329744334856,0.00217221569393594,47,COMPLETE
69,-0.8522938368924314,2025-11-21 08:35:06.843631,2025-11-21 09:03:31.229735,0 days 00:28:24.386104,0.4101676110150847,0.016930405959821718,46,COMPLETE
70,-0.799947399445298,2025-11-21 08:35:09.082564,2025-11-21 09:03:15.467739,0 days 00:28:06.385175,0.5055116070847631,0.0023513425674905985,46,COMPLETE
71,-0.8513867239920603,2025-11-21 08:35:11.222635,2025-11-21 09:03:26.347402,0 days 00:28:15.124767,0.4576709577003954,0.0022768758332109558,47,COMPLETE
72,-0.8075748427472529,2025-11-21 08:35:13.597844,2025-11-21 09:03:09.089007,0 days 00:27:55.491163,0.4003311437946607,0.0021741772791180032,48,COMPLETE
73,-0.79443699766323,2025-11-21 08:35:17.090946,2025-11-21 09:02:56.514911,0 days 00:27:39.423965,0.4393134231234874,0.0021644768022322796,79,COMPLETE
74,-0.6732516807954415,2025-11-21 08:35:20.981678,2025-11-21 09:03:29.470799,0 days 00:28:08.489121,0.492586283897649,0.002210511650145484,49,COMPLETE
75,-0.8128139436507889,2025-11-21 08:40:56.448795,2025-11-21 09:03:26.029840,0 days 00:22:29.581045,0.46340125444330804,0.002035885819902273,48,COMPLETE
76,-0.9829814458957046,2025-11-21 08:59:37.279996,2025-11-21 09:06:39.913604,0 days 00:07:02.633608,0.09511425024928884,0.017026001174614214,81,COMPLETE
77,-1.74783296655943,2025-11-21 09:02:37.351407,2025-11-21 09:16:46.750566,0 days 00:14:09.399159,0.16191073250966326,0.0010784382227618274,102,COMPLETE
78,-1.2370184206770642,2025-11-21 09:02:39.212657,2025-11-21 09:17:50.477214,0 days 00:15:11.264557,0.6857195394844516,0.0014365408702190754,30,COMPLETE
79,-1.4589075014205755,2025-11-21 09:02:40.563841,2025-11-21 09:17:03.544455,0 days 00:14:22.980614,0.6484725240933703,0.001177126536530861,93,COMPLETE
80,-1.262447882277137,2025-11-21 09:02:41.771220,2025-11-21 09:17:00.687463,0 days 00:14:18.916243,0.6433111349898984,0.0013086812900563554,90,COMPLETE
81,-1.45480010230004,2025-11-21 09:02:43.257538,2025-11-21 09:17:08.868390,0 days 00:14:25.610852,0.12267839328779699,0.0013091206287496819,97,COMPLETE
82,-2.1379623882150507,2025-11-21 09:02:48.178256,2025-11-21 09:17:07.052932,0 days 00:14:18.874676,0.06752477401218887,0.0012478289684711298,92,COMPLETE
83,-1.654443462076005,2025-11-21 09:02:55.891649,2025-11-21 09:16:56.707106,0 days 00:14:00.815457,0.12597855711524875,0.0011854509664118854,92,COMPLETE
84,-1.4872269077075893,2025-11-21 09:02:56.516281,2025-11-21 09:17:02.411160,0 days 00:14:05.894879,0.6718611986291644,0.0013159546965409578,94,COMPLETE
85,-0.5592256987319717,2025-11-21 09:02:57.785056,2025-11-21 09:17:02.052976,0 days 00:14:04.267920,0.13463110868569977,0.0013957151495861556,99,COMPLETE
86,-1.6415292102513077,2025-11-21 09:03:09.091004,2025-11-21 09:16:53.341122,0 days 00:13:44.250118,0.11761474090077728,0.001292692134255793,93,COMPLETE
87,-1.114934857857686,2025-11-21 09:03:15.126109,2025-11-21 09:18:27.984713,0 days 00:15:12.858604,0.6695793630710593,0.0012456434379317896,96,COMPLETE
88,-1.6164867425502472,2025-11-21 09:03:15.469368,2025-11-21 09:18:29.182562,0 days 00:15:13.713194,0.12226914057694269,0.001018458220435499,96,COMPLETE
89,-1.817564582504061,2025-11-21 09:03:16.843232,2025-11-21 09:18:14.772043,0 days 00:14:57.928811,0.12028958035927104,0.0012761794732120395,93,COMPLETE
90,-1.6807682396903052,2025-11-21 09:03:17.854577,2025-11-21 09:18:24.905006,0 days 00:15:07.050429,0.6350199726862369,0.001311598162494481,91,COMPLETE
91,-1.0778752319258864,2025-11-21 09:03:19.001526,2025-11-21 09:18:15.750009,0 days 00:14:56.748483,0.6935059098905967,0.0014083770684766832,93,COMPLETE
92,-1.3634977333507994,2025-11-21 09:03:24.934736,2025-11-21 09:19:06.325199,0 days 00:15:41.390463,0.6865144230728799,0.001343423508900619,34,COMPLETE
93,-0.8202935671620348,2025-11-21 09:03:25.049528,2025-11-21 09:19:23.664404,0 days 00:15:58.614876,0.13025875566472742,0.0012164884880660769,29,COMPLETE
94,-1.433396309225232,2025-11-21 09:03:26.030912,2025-11-21 09:18:37.235427,0 days 00:15:11.204515,0.1561571390779067,0.0015382295035970646,96,COMPLETE
95,-1.5240417022434207,2025-11-21 09:03:26.348369,2025-11-21 09:18:28.260048,0 days 00:15:01.911679,0.717450502131083,0.0013239656730134983,94,COMPLETE
96,-1.7138978027879885,2025-11-21 09:03:27.020723,2025-11-21 09:18:12.999667,0 days 00:14:45.978944,0.7147953590269712,0.001042916949303645,92,COMPLETE
97,-1.359213751916714,2025-11-21 09:03:29.472347,2025-11-21 09:18:23.472584,0 days 00:14:54.000237,0.66786244142012,0.001075290974774759,92,COMPLETE
98,-0.9349914947159927,2025-11-21 09:03:31.231607,2025-11-21 09:18:23.201687,0 days 00:14:51.970080,0.6714201327310843,0.006537838710333303,94,COMPLETE
99,-1.4488010483073346,2025-11-21 09:03:31.610611,2025-11-21 09:18:09.045316,0 days 00:14:37.434705,0.13602384474400928,0.0009798357140925501,98,COMPLETE
