#{"t_start": 1764689907.789117, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
-26.713629602344536,1,900.603072,-26.713629602344536,-26.713629602344536,-21.02072780420123,"[1734.9448871738405, 960.4662129310454, 1638.774007168006]",[2656.48009859  768.93100101 2488.62869218],[2656.48009859  768.93100101 2488.62869218],[2358.87524922  682.43476611 2446.44010792],[123.83913687  52.          55.58842838],[115.8474042  52.         52.       ],[92.   65.75 64.5 ],[-31.83913687  40.          36.41157162],[-23.8474042  40.         40.       ],[ 0.   26.25 27.5 ],92.0,10.0,0.075,1632636402839,"{'RotTorq_[kN-m]': 167.17911634039424, 'RootMxc1_[kN-m]': 5819.930978969723, 'RootMyc1_[kN-m]': 2673.2984075404497, 'RootMzc1_[kN-m]': 67.47153475831526, 'TwrBsMxt_[kN-m]': 4258.508235810163, 'TwrBsMyt_[kN-m]': 6150.25959294414, 'TwrBsMzt_[kN-m]': 1039.1007569776618, 'YawBrMxn_[kN-m]': 193.22953687908458, 'YawBrMyn_[kN-m]': 913.2088799538442, 'YawBrMzn_[kN-m]': 1039.3508977346821}"
-8.165206967164833,1,900.603598,-8.165206967164833,-8.165206967164833,-4.092265174838331,"[2682.208649793708, 453.83619680874824, 1808.7042947262887]",[2457.94352798  584.14873332 2342.3039768 ],[2457.94352798  584.14873332 2342.3039768 ],[2299.7649772   536.87897722 2319.09155569],[70.05282678 50.         71.06503657],[62.06109411 50.         67.47660819],[90.   61.25 60.  ],[19.94717322 40.         18.93496343],[27.93890589 40.         22.52339181],[ 0.   28.75 30.  ],90.0,10.0,0.05,3956356840230,"{'RotTorq_[kN-m]': 163.17683277860078, 'RootMxc1_[kN-m]': 5588.950785855559, 'RootMyc1_[kN-m]': 2285.6703060227414, 'RootMzc1_[kN-m]': 67.52660060515592, 'TwrBsMxt_[kN-m]': 2765.7004794786385, 'TwrBsMyt_[kN-m]': 4880.738551843678, 'TwrBsMzt_[kN-m]': 756.8235722679498, 'YawBrMxn_[kN-m]': 177.17006369973646, 'YawBrMyn_[kN-m]': 729.8142227196478, 'YawBrMzn_[kN-m]': 756.8190321406688}"
-9.93418078476146,1,900.60391,-9.93418078476146,-9.93418078476146,-9.645211810815798,"[1719.744693401379, 1461.0126408732092, 3064.6358422070784]",[2946.5308038  1277.85891359 2709.86484321],[2946.5308038  1277.85891359 2709.86484321],[2937.76039119 1289.86467008 2684.4526511 ],[102.66547714  56.          59.58842838],[94.67374447 67.27451858 56.        ],[96.   74.75 73.5 ],[-6.66547714 40.         36.41157162],[ 1.32625553 28.72548142 40.        ],[ 0.   21.25 22.5 ],96.0,10.0,0.025,2842473811776,"{'RotTorq_[kN-m]': 79.20614889949117, 'RootMxc1_[kN-m]': 5798.70798062365, 'RootMyc1_[kN-m]': 1713.852343191698, 'RootMzc1_[kN-m]': 73.82216056727786, 'TwrBsMxt_[kN-m]': 1404.9638582006621, 'TwrBsMyt_[kN-m]': 2311.6156448419115, 'TwrBsMzt_[kN-m]': 570.9071972511489, 'YawBrMxn_[kN-m]': 102.60841684001046, 'YawBrMyn_[kN-m]': 552.5339865113466, 'YawBrMzn_[kN-m]': 570.9947666511803}"
-6.2123797874413835,1,900.604201,-6.2123797874413835,-6.2123797874413835,-7.7498173351923105,"[2362.4227346004154, 1321.2800021418464, 2878.5234608231403]",[2926.96787907 1355.7944837  2714.13784932],[2926.96787907 1355.7944837  2714.13784932],[2903.33473914 1369.13689343 2841.03861532],[108.93683938  56.          67.99107331],[100.94510671  56.          64.40264493],[96.  76.  73.5],[-12.93683938  40.          28.00892669],[-4.94510671 40.         31.59735507],[ 0.  20.  22.5],96.0,10.0,0.05,9336962592723,"{'RotTorq_[kN-m]': 179.13772675077772, 'RootMxc1_[kN-m]': 5856.152757224451, 'RootMyc1_[kN-m]': 2787.809324574555, 'RootMzc1_[kN-m]': 80.71361058191606, 'TwrBsMxt_[kN-m]': 2165.8501075283343, 'TwrBsMyt_[kN-m]': 4649.505930990269, 'TwrBsMzt_[kN-m]': 851.3155922350305, 'YawBrMxn_[kN-m]': 192.26592680134334, 'YawBrMyn_[kN-m]': 804.5751548664188, 'YawBrMzn_[kN-m]': 851.456165020054}"
-7.146204270068446,1,900.604507,-7.146204270068446,-7.146204270068446,-10.702430152172603,"[1932.8096792482706, 1684.3889880554532, 2821.5198977967243]",[2946.5308038  1277.85891359 2709.86484321],[2946.5308038  1277.85891359 2709.86484321],[3103.02711878 1313.76895054 2793.61130914],[77.64324261 59.6429512  61.68697783],[69.65150994 74.90551561 58.09854945],[96.   74.75 73.5 ],[18.35675739 36.3570488  34.31302217],[26.34849006 21.09448439 37.90145055],[ 0.   21.25 22.5 ],96.0,10.0,0.025,6810439091480,"{'RotTorq_[kN-m]': 75.54765308508456, 'RootMxc1_[kN-m]': 5687.393944685882, 'RootMyc1_[kN-m]': 2051.3522308077227, 'RootMzc1_[kN-m]': 75.95718069007596, 'TwrBsMxt_[kN-m]': 1538.0132527594644, 'TwrBsMyt_[kN-m]': 2678.9189583234693, 'TwrBsMzt_[kN-m]': 652.2685078955824, 'YawBrMxn_[kN-m]': 99.34236039562695, 'YawBrMyn_[kN-m]': 620.4080272901559, 'YawBrMzn_[kN-m]': 652.4929173530684}"
-6.330078605277419,1,900.604801,-6.330078605277419,-6.330078605277419,0.15745551581216222,"[2892.682219906848, 492.5347582172407, 1679.3024304031665]",[2390.87280633  601.34591712 2414.55362473],[2390.87280633  601.34591712 2414.55362473],[2358.20893158  475.34397757 2223.00467055],[110.8697027  50.         87.5405571],[102.87797003  60.67371969  83.95212872],[90.   62.5  61.25],[-20.8697027  40.          2.4594429],[-12.87797003  29.32628031   6.04787128],[ 0.   27.5  28.75],90.0,10.0,0.075,9775965546174,"{'RotTorq_[kN-m]': 249.41533247756547, 'RootMxc1_[kN-m]': 5929.415652190481, 'RootMyc1_[kN-m]': 2323.703015677236, 'RootMzc1_[kN-m]': 68.84182830756572, 'TwrBsMxt_[kN-m]': 3300.6641376631064, 'TwrBsMyt_[kN-m]': 6309.4639520274395, 'TwrBsMzt_[kN-m]': 970.4540621335942, 'YawBrMxn_[kN-m]': 282.6677188441859, 'YawBrMyn_[kN-m]': 896.0073706429639, 'YawBrMzn_[kN-m]': 970.5347141389238}"
-9.210803727518375,1,900.605096,-9.210803727518375,-9.210803727518375,-16.17294040020965,"[1864.1452215500067, 2847.7585559277018, 1113.3011112680826]",[2879.11523761  935.81157887 2601.26049205],[2879.11523761  935.81157887 2601.26049205],[3198.25207383  987.22955074 2763.59295416],[133.93544451  90.6491052   57.58842838],[125.94371184 105.91166961  54.        ],[94. 69. 69.],[-39.93544451   3.3508948   36.41157162],[-31.94371184 -11.91166961  40.        ],[ 0. 25. 25.],94.0,10.0,0.05,9861588636821,"{'RotTorq_[kN-m]': 173.06849553172967, 'RootMxc1_[kN-m]': 5820.7356792498385, 'RootMyc1_[kN-m]': 2218.4270355518875, 'RootMzc1_[kN-m]': 74.43322333620829, 'TwrBsMxt_[kN-m]': 2630.4909493312475, 'TwrBsMyt_[kN-m]': 4856.996292833189, 'TwrBsMzt_[kN-m]': 961.2949891654856, 'YawBrMxn_[kN-m]': 199.97712219242877, 'YawBrMyn_[kN-m]': 880.029238363781, 'YawBrMzn_[kN-m]': 961.2524979938462}"
-7.296811052761874,1,900.605391,-7.296811052761874,-7.296811052761874,-6.223004381010145,"[1679.0527293934051, 1076.2224127680458, 2721.4067723440357]",[2688.91168661  742.15238242 2476.69593006],[2688.91168661  742.15238242 2476.69593006],[2711.73291781  739.23891376 2389.14053113],[103.477283    52.          55.58842838],[95.48555033 52.         52.        ],[92.  64.5 64.5],[-11.477283    40.          36.41157162],[-3.48555033 40.         40.        ],[ 0.  27.5 27.5],92.0,10.0,0.05,9724817603328,"{'RotTorq_[kN-m]': 140.39441885753078, 'RootMxc1_[kN-m]': 5732.457054799222, 'RootMyc1_[kN-m]': 2409.089453287963, 'RootMzc1_[kN-m]': 73.57270648307114, 'TwrBsMxt_[kN-m]': 2912.0381214195063, 'TwrBsMyt_[kN-m]': 5164.453981515429, 'TwrBsMzt_[kN-m]': 939.2205765507557, 'YawBrMxn_[kN-m]': 187.97584111920614, 'YawBrMyn_[kN-m]': 832.0761925978308, 'YawBrMzn_[kN-m]': 939.3654731854816}"
-4.533458525010596,1,900.605691,-4.533458525010596,-4.533458525010596,-6.266993708925157,"[2078.515596013542, 984.4159831937089, 2595.5717320203025]",[2730.05649098  726.02669073 2471.12778016],[2730.05649098  726.02669073 2471.12778016],[2776.75562102  770.04925569 2490.02626222],[109.18412191  52.          60.72346749],[101.19238924  52.          57.13503911],[92.  62.  64.5],[-17.18412191  40.          31.27653251],[-9.19238924 40.         34.86496089],[ 0.  30.  27.5],92.0,10.0,0.025,3149423741509,"{'RotTorq_[kN-m]': 72.56591582257556, 'RootMxc1_[kN-m]': 5726.776367823812, 'RootMyc1_[kN-m]': 1944.4506587982405, 'RootMzc1_[kN-m]': 70.78656002947206, 'TwrBsMxt_[kN-m]': 1898.9112008978982, 'TwrBsMyt_[kN-m]': 3168.9230151129195, 'TwrBsMzt_[kN-m]': 679.4022277786308, 'YawBrMxn_[kN-m]': 98.30379449070836, 'YawBrMyn_[kN-m]': 591.5230576525573, 'YawBrMzn_[kN-m]': 679.3325995184874}"
1.2724659008628232,1,900.60598,1.2724659008628232,1.2724659008628232,-3.0257722596630483,"[3130.2693310394325, 643.4484622772944, 1701.8538893262273]",[2390.87280633  601.34591712 2414.55362473],[2390.87280633  601.34591712 2414.55362473],[2491.95766464  680.58121192 2473.88060027],[76.72106754 54.66188692 89.14483542],[68.72933486 69.92445132 85.55640704],[90.   62.5  61.25],[13.27893246 35.33811308  0.85516458],[21.27066514 20.07554868  4.44359296],[ 0.   27.5  28.75],90.0,10.0,0.075,7463697072068,"{'RotTorq_[kN-m]': 223.47182252891966, 'RootMxc1_[kN-m]': 5852.423498906675, 'RootMyc1_[kN-m]': 2490.5963590543715, 'RootMzc1_[kN-m]': 72.64622390550498, 'TwrBsMxt_[kN-m]': 3709.5155484555, 'TwrBsMyt_[kN-m]': 8736.97993569584, 'TwrBsMzt_[kN-m]': 972.7549060520269, 'YawBrMxn_[kN-m]': 256.0927823493079, 'YawBrMyn_[kN-m]': 994.9417527876079, 'YawBrMzn_[kN-m]': 972.5129407424728}"
-8.030212500722381,1,1338.451221,-8.030212500722381,-8.030212500722381,-9.050311348068066,"[2191.6645588080282, 2637.932090237766, 1645.5977090887654]",[2923.05837422 1343.01019254 2774.49826959],[2923.05837422 1343.01019254 2774.49826959],[3184.0136922  1362.49728886 2573.02340559],[130.24957147  86.2409375   70.033987  ],[122.25783879 101.5035019   66.44555862],[96.   76.   74.75],[-34.24957147   9.7590625   25.966013  ],[-26.25783879  -5.5035019   29.55444138],[ 0.   20.   21.25],96.0,10.0,0.075,9178158872913,"{'RotTorq_[kN-m]': 270.753631511959, 'RootMxc1_[kN-m]': 5897.984998399282, 'RootMyc1_[kN-m]': 2992.4995503044306, 'RootMzc1_[kN-m]': 83.1769041503894, 'TwrBsMxt_[kN-m]': 3022.4307920951956, 'TwrBsMyt_[kN-m]': 6461.941156955002, 'TwrBsMzt_[kN-m]': 1245.9618812763053, 'YawBrMxn_[kN-m]': 278.9772927877931, 'YawBrMyn_[kN-m]': 1120.095703632862, 'YawBrMzn_[kN-m]': 1245.7296544816681}"
-15.738970416667932,1,1338.471159,-15.738970416667932,-15.738970416667932,-14.650381136382768,"[1705.8217871911709, 2017.9619792840615, 819.7827910228281]",[2500.07135636  554.93497178 2337.24508389],[2500.07135636  554.93497178 2337.24508389],[2482.67720505  546.03338203 2294.76550805],[128.98110426  80.64457569  53.58842838],[120.98937159  95.90714009  50.        ],[90.  57.5 60. ],[-38.98110426   9.35542431  36.41157162],[-30.98937159  -5.90714009  40.        ],[ 0.  32.5 30. ],90.0,10.0,0.025,703635750009,"{'RotTorq_[kN-m]': 78.22354044389591, 'RootMxc1_[kN-m]': 5611.494650505785, 'RootMyc1_[kN-m]': 1711.8118841203257, 'RootMzc1_[kN-m]': 65.97926956971857, 'TwrBsMxt_[kN-m]': 1772.3079041766712, 'TwrBsMyt_[kN-m]': 2837.675739226143, 'TwrBsMzt_[kN-m]': 520.8199128537876, 'YawBrMxn_[kN-m]': 94.96203527023158, 'YawBrMyn_[kN-m]': 559.8542343440025, 'YawBrMzn_[kN-m]': 520.8491204294196}"
-21.659021652814477,1,1338.471618,-21.659021652814477,-21.659021652814477,-19.77992455083141,"[2565.9711847789454, 992.6674098390276, 1459.5185427654399]",[2886.35121951  923.4887323  2595.69294203],[2886.35121951  923.4887323  2595.69294203],[2870.00325814  861.83442683 2523.65024531],[134.          57.69067275  73.50854253],[126.04711057  72.95323716  69.92011415],[94. 69. 69.],[-40.          36.30932725  20.49145747],[-32.04711057  21.04676284  24.07988585],[ 0. 25. 25.],94.0,10.0,0.025,5654137079317,"{'RotTorq_[kN-m]': 92.53352100815941, 'RootMxc1_[kN-m]': 5774.4721877885495, 'RootMyc1_[kN-m]': 2075.6501206664, 'RootMzc1_[kN-m]': 66.07403621135417, 'TwrBsMxt_[kN-m]': 2221.1675673530176, 'TwrBsMyt_[kN-m]': 3351.159122566307, 'TwrBsMzt_[kN-m]': 577.2077345371982, 'YawBrMxn_[kN-m]': 110.62181535430837, 'YawBrMyn_[kN-m]': 542.4289931326289, 'YawBrMzn_[kN-m]': 577.0766359819602}"
-5.951961260427547,1,1338.471965,-5.951961260427547,-5.951961260427547,-5.514311623945158,"[1705.7659347208653, 1317.1495566896488, 3001.362566062232]",[2886.35121951  923.4887323  2595.69294203],[2886.35121951  923.4887323  2595.69294203],[2890.14643152  936.10848483 2549.60809636],[92.36994    54.         57.58842838],[84.37820733 68.67884141 54.        ],[94. 69. 69.],[ 1.63006    40.         36.41157162],[ 9.62179267 25.32115859 40.        ],[ 0. 25. 25.],94.0,10.0,0.025,8248716404141,"{'RotTorq_[kN-m]': 85.88785915943406, 'RootMxc1_[kN-m]': 5691.9819466041545, 'RootMyc1_[kN-m]': 1879.0777358981632, 'RootMzc1_[kN-m]': 72.84929890155881, 'TwrBsMxt_[kN-m]': 1780.9546164686897, 'TwrBsMyt_[kN-m]': 3221.7098618163013, 'TwrBsMzt_[kN-m]': 770.6188902143484, 'YawBrMxn_[kN-m]': 121.6414931491355, 'YawBrMyn_[kN-m]': 650.8468928022048, 'YawBrMzn_[kN-m]': 770.6801606181328}"
-4.781694464280315,1,1338.472264,-4.781694464280315,-4.781694464280315,-5.303366497932405,"[2028.0756416278512, 1210.7764108404042, 2909.442178394715]",[2849.13448276  996.41612474 2611.50005757],[2849.13448276  996.41612474 2611.50005757],[2925.06605195 1036.86985675 2530.68584931],[81.96000512 54.         63.20665744],[73.96827245 64.29268017 59.61822906],[94.   70.25 69.  ],[12.03999488 40.         30.79334256],[20.03172755 29.70731983 34.38177094],[ 0.   23.75 25.  ],94.0,10.0,0.075,3678943930522,"{'RotTorq_[kN-m]': 180.58547788070072, 'RootMxc1_[kN-m]': 5734.5300466267845, 'RootMyc1_[kN-m]': 2831.8030310307227, 'RootMzc1_[kN-m]': 77.69742500688734, 'TwrBsMxt_[kN-m]': 3605.7962677559376, 'TwrBsMyt_[kN-m]': 5831.785595553098, 'TwrBsMzt_[kN-m]': 1092.8593728102012, 'YawBrMxn_[kN-m]': 190.7447961205041, 'YawBrMyn_[kN-m]': 964.7660662372595, 'YawBrMzn_[kN-m]': 1092.7807272061139}"
-4.281344606964203,1,1338.472553,-4.281344606964203,-4.281344606964203,-3.713790798760582,"[3042.162375220179, 897.2806668923089, 2799.6928656885357]",[2923.05837422 1343.01019254 2774.49826959],[2923.05837422 1343.01019254 2774.49826959],[2918.75228177 1392.57631549 2687.7380019 ],[103.46761334  56.         100.20834331],[95.47588067 56.         96.61991493],[96.   76.   74.75],[-7.46761334 40.         -4.20834331],[ 0.52411933 40.         -0.61991493],[ 0.   20.   21.25],96.0,10.0,0.075,8632913841012,"{'RotTorq_[kN-m]': 208.66555151613417, 'RootMxc1_[kN-m]': 5915.094853011775, 'RootMyc1_[kN-m]': 2362.4800683122667, 'RootMzc1_[kN-m]': 79.9216479795568, 'TwrBsMxt_[kN-m]': 3018.299339361622, 'TwrBsMyt_[kN-m]': 6975.5443227909855, 'TwrBsMzt_[kN-m]': 1009.9231645090889, 'YawBrMxn_[kN-m]': 234.61438853044262, 'YawBrMyn_[kN-m]': 1015.1290967288251, 'YawBrMzn_[kN-m]': 1009.9566752917934}"
