#{"t_start": 1755768998.3144464, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
2.0731816,1,1108.830487,11.138574690092366,"[2553.6954330104522, 2287.819000489934, 2574.574725092354]",7265.4629093692565,7265.4629093692565,[102.41980079  78.19502687  72.90308799],[94.78908634 73.29203701 69.5687542 ],[96.   74.75 73.5 ],[-6.41980079 17.80497313 23.09691201],[ 1.21091366 22.70796299 26.4312458 ],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-6.623884,1,1108.830722,2.696672815558875,"[2245.301743715029, 1073.626965412996, 1822.2126899666412]",5505.842001501657,5505.842001501657,[97.64577297 66.16245747 62.79021968],[90.01505852 61.2594676  59.45588589],[90.   61.25 60.  ],[-7.64577297 23.83754253 27.20978032],[-1.50585175e-02  2.87405324e+01  3.05441141e+01],[ 0.   28.75 30.  ],90.0,10.0,0.05
-4.5735574,1,1108.830984,1.0647960419647058,"[2679.9498847761, 1930.4487042522414, 2322.774191638647]",7265.4629093692565,7265.4629093692565,[101.53411868  77.36599302  77.07893695],[93.90340424 72.46300316 73.74460316],[96.   74.75 73.5 ],[-5.53411868 18.63400698 18.92106305],[ 2.09659576 23.53699684 22.25539684],[ 0.   21.25 22.5 ],96.0,10.0,0.025
5.326448,1,1108.831221,-13.538732633296338,"[2716.870731224211, 1694.758729061456, 2079.352894845504]",6162.727860477773,6162.727860477773,[99.43116287 71.76633549 70.81625642],[91.80044842 66.86334562 67.48192263],[92.   65.75 64.5 ],[-7.43116287 20.23366451 21.18374358],[ 0.19955158 25.13665438 24.51807737],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-2.7524743,1,1669.831637,-11.883681413188498,"[2367.5497312992525, 862.2973072106668, 2086.8393869387637]",5467.168837650526,5467.168837650526,[97.5808802  59.06428576 62.74446239],[89.95016575 54.16129589 59.41012859],[90.  57.5 60. ],[-7.5808802  30.93571424 27.25553761],[ 0.04983425 35.83870411 30.58987141],[ 0.  32.5 30. ],90.0,10.0,0.025
-7.32237,1,1669.832836,10.155855283318457,"[2118.7537335454713, 979.4738579979081, 1968.6149117950893]",5467.168837650526,5467.168837650526,[96.418623   61.98781252 61.58695926],[88.78790855 57.08482265 58.25262547],[90.  57.5 60. ],[-6.418623   28.01218748 28.41304074],[ 1.21209145 32.91517735 31.74737453],[ 0.  32.5 30. ],90.0,10.0,0.025
-3.8799837,1,1669.833118,-0.30466805312262624,"[2508.620441613996, 1530.5818775994676, 2377.187409433114]",6675.393914287828,6675.393914287828,[99.36525634 69.50127745 71.35015621],[91.73454189 64.59828758 68.01582241],[94. 69. 69.],[-5.36525634 24.49872255 22.64984379],[ 2.26545811 29.40171242 25.98417759],[ 0. 25. 25.],94.0,10.0,0.025
0.9573954,1,1669.833385,-13.055801038174335,"[2452.8133491537646, 1704.2880938781313, 2064.628088088393]",6162.727860477773,6162.727860477773,[101.04967931  72.87478876  65.48510017],[93.41896486 67.9717989  62.15076637],[92.   65.75 64.5 ],[-9.04967931 19.12521124 26.51489983],[-1.41896486 24.0282011  29.84923363],[ 0.   26.25 27.5 ],92.0,10.0,0.075
9.841183,1,1669.83363,11.894292814597588,"[2652.347598640337, 1691.2105180984263, 2337.5444768308885]",6082.511517684261,6082.511517684261,[90.70003131 71.0865469  67.28419723],[83.06931686 66.18355703 63.94986343],[92.  64.5 64.5],[ 1.29996869 20.9134531  24.71580277],[ 8.93068314 25.81644297 28.05013657],[ 0.  27.5 27.5],92.0,10.0,0.05
4.216931,1,1669.833871,11.8740869099618,"[2588.7349849899574, 1933.0719071756996, 2507.4267688357045]",6744.809698019875,6744.809698019875,[102.32421449  73.45922136  73.01324501],[94.69350004 68.5562315  69.67891121],[94.   70.25 69.  ],[-8.32421449 20.54077864 20.98675499],[-0.69350004 25.4437685  24.32108879],[ 0.   23.75 25.  ],94.0,10.0,0.075
1.4432687,1,1669.834106,12.58184338590209,"[2689.260510901072, 1498.457958678172, 2063.954112916749]",6162.727860477773,6162.727860477773,[101.69715742  71.34553862  69.7593254 ],[94.06644297 66.44254875 66.42499161],[92.   65.75 64.5 ],[-9.69715742 20.65446138 22.2406746 ],[-2.06644297 25.55745125 25.57500839],[ 0.   26.25 27.5 ],92.0,10.0,0.075
3.103135,1,1669.834339,5.799807972072866,"[2631.2925425463513, 1970.921404484611, 2351.8963119681334]",6744.809698019875,6744.809698019875,[101.64238504  75.32625103  71.09040393],[94.01167059 70.42326117 67.75607014],[94.   70.25 69.  ],[-7.64238504 18.67374897 22.90959607],[-1.16705894e-02  2.35767388e+01  2.62439299e+01],[ 0.   23.75 25.  ],94.0,10.0,0.075
-8.69456,1,1669.834592,-7.629763841795941,"[2310.2082544080213, 1151.0512204824772, 1683.6516775168573]",5634.8352801952,5634.8352801952,[98.04201272 68.53698015 64.23815956],[90.41129827 63.63399029 60.90382576],[90.   62.5  61.25],[-8.04201272 21.46301985 25.76184044],[-0.41129827 26.36600971 29.09617424],[ 0.   27.5  28.75],90.0,10.0,0.075
