number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
32,-0.05513390939948028,2025-11-21 07:35:02.765092,2025-11-21 08:39:18.215607,0 days 01:04:15.450515,0.017079444822203912,6.238900323760348e-05,7,COMPLETE
33,-0.2030414407639356,2025-11-21 07:35:03.166909,2025-11-21 08:38:35.059093,0 days 01:03:31.892184,0.015914431090043743,8.974432504988413e-05,7,COMPLETE
34,-0.14539292100825588,2025-11-21 07:35:06.652798,2025-11-21 08:38:38.818769,0 days 01:03:32.165971,0.8997973687449684,6.375757271733385e-05,7,COMPLETE
35,0.12157997498819242,2025-11-21 07:35:07.338147,2025-11-21 08:38:49.391060,0 days 01:03:42.052913,0.014134792347983574,7.36670804153153e-05,7,COMPLETE
36,-0.14716520477403247,2025-11-21 07:35:10.078221,2025-11-21 08:39:05.449175,0 days 01:03:55.370954,0.0204896182456247,6.99200460291285e-05,7,COMPLETE
37,-0.051990897424743256,2025-11-21 07:35:15.271771,2025-11-21 08:39:08.684541,0 days 01:03:53.412770,0.015553630180112922,6.910424224787044e-05,7,COMPLETE
38,-0.22138038838920865,2025-11-21 07:35:19.238016,2025-11-21 08:39:25.943863,0 days 01:04:06.705847,0.899649718817499,5.518194262297128e-05,7,COMPLETE
39,0.08861714285779648,2025-11-21 07:35:25.493824,2025-11-21 08:38:39.294321,0 days 01:03:13.800497,0.013354792437131618,6.461895514455034e-05,7,COMPLETE
40,-0.1349015612620953,2025-11-21 07:35:30.298869,2025-11-21 08:38:30.474862,0 days 01:03:00.175993,0.01679017227317116,8.085484883773842e-05,7,COMPLETE
41,-0.07976410854161776,2025-11-21 07:35:30.560408,2025-11-21 08:39:23.622812,0 days 01:03:53.062404,0.015150855563933918,7.534330129670266e-05,7,COMPLETE
42,0.04098321571824529,2025-11-21 07:35:31.892416,2025-11-21 08:39:14.735324,0 days 01:03:42.842908,0.8905769723977438,7.940962751431397e-05,7,COMPLETE
43,-0.10352844645646893,2025-11-21 07:35:32.744249,2025-11-21 08:39:01.882086,0 days 01:03:29.137837,0.016682640469351098,5.521138668070963e-05,7,COMPLETE
44,-0.1949395811742733,2025-11-21 07:36:03.728982,2025-11-21 08:38:57.490398,0 days 01:02:53.761416,0.8884484198448165,7.256081356156806e-05,7,COMPLETE
45,0.006759369593487918,2025-11-21 07:36:07.945606,2025-11-21 08:38:44.693807,0 days 01:02:36.748201,0.01974650891336427,6.155084494084699e-05,7,COMPLETE
46,0.012877332725810582,2025-11-21 07:36:13.344993,2025-11-21 08:39:16.583798,0 days 01:03:03.238805,0.016320944111693197,8.188169250197907e-05,7,COMPLETE
47,0.17215845353138012,2025-11-21 07:36:15.270018,2025-11-21 08:38:50.349689,0 days 01:02:35.079671,0.020670640742548728,6.187827591816158e-05,7,COMPLETE
48,-0.002426957707450903,2025-11-21 07:36:27.755781,2025-11-21 08:38:41.586353,0 days 01:02:13.830572,0.013256990751929144,6.097554791305248e-05,7,COMPLETE
49,0.0356347437791385,2025-11-21 07:36:41.203893,2025-11-21 08:39:11.814850,0 days 01:02:30.610957,0.017278442662758516,7.744895474949058e-05,8,COMPLETE
50,0.03231972912139695,2025-11-21 08:38:30.477040,2025-11-21 09:07:27.044977,0 days 00:28:56.567937,0.008544429426800415,0.0001550275118558838,5,COMPLETE
51,0.05892159369463614,2025-11-21 08:38:35.062571,2025-11-21 09:06:40.534411,0 days 00:28:05.471840,0.00806984518808482,0.0001459075738376703,5,COMPLETE
52,-0.2598118581322366,2025-11-21 08:38:36.909674,2025-11-21 09:07:15.536010,0 days 00:28:38.626336,0.008402257191274765,0.00015623877436289299,5,COMPLETE
53,-0.16706025701581756,2025-11-21 08:38:38.820108,2025-11-21 09:06:46.130322,0 days 00:28:07.310214,0.00890607715123372,0.00014500724762351376,5,COMPLETE
54,-0.101867652843436,2025-11-21 08:38:39.295656,2025-11-21 09:07:22.119284,0 days 00:28:42.823628,0.034221249991664114,0.00013447599659421075,4,COMPLETE
55,-0.10007775585407724,2025-11-21 08:38:39.646746,2025-11-21 09:06:39.555561,0 days 00:27:59.908815,0.009038219303110112,0.00014447958068794154,5,COMPLETE
56,0.02405859793681699,2025-11-21 08:38:41.588209,2025-11-21 09:06:45.790900,0 days 00:28:04.202691,0.006967363426797607,0.0001592465738551327,5,COMPLETE
57,-0.1861530220463936,2025-11-21 08:38:44.695759,2025-11-21 09:07:16.049859,0 days 00:28:31.354100,0.03140277758425789,0.00014469737479403622,5,COMPLETE
58,-0.03927856349453484,2025-11-21 08:38:49.396274,2025-11-21 09:07:09.739949,0 days 00:28:20.343675,0.008532463107416033,0.0001509198844380665,4,COMPLETE
59,-0.12385254476460372,2025-11-21 08:38:50.351090,2025-11-21 09:07:12.644527,0 days 00:28:22.293437,0.008660712720256883,0.00013677347813509112,5,COMPLETE
60,0.003115125830238199,2025-11-21 08:38:51.166359,2025-11-21 09:07:14.493678,0 days 00:28:23.327319,0.008565764542913835,0.00014692273677107293,5,COMPLETE
61,0.04886727697089777,2025-11-21 08:38:55.861185,2025-11-21 09:06:43.606830,0 days 00:27:47.745645,0.010349194589915345,0.00014788454368022352,5,COMPLETE
62,-0.09407470681004332,2025-11-21 08:38:55.960156,2025-11-21 09:07:07.086993,0 days 00:28:11.126837,0.008984734965790683,0.0001452923093315689,5,COMPLETE
63,-0.08459209759609103,2025-11-21 08:38:57.491754,2025-11-21 09:07:15.511759,0 days 00:28:18.020005,0.03496975893306279,0.00014465759518198697,5,COMPLETE
64,-0.1834289056262323,2025-11-21 08:38:58.828766,2025-11-21 09:07:10.584678,0 days 00:28:11.755912,0.008358922802250758,0.00015388588970834918,5,COMPLETE
65,0.15274413039156406,2025-11-21 08:39:01.883644,2025-11-21 09:06:53.303415,0 days 00:27:51.419771,0.008419779716130296,0.00019556617118169834,5,COMPLETE
66,-0.12348087967731335,2025-11-21 08:39:05.450581,2025-11-21 09:06:32.449293,0 days 00:27:26.998712,0.035389875474509995,0.00021985524228237648,5,COMPLETE
67,-0.1242433312013149,2025-11-21 08:39:08.686341,2025-11-21 09:06:42.891641,0 days 00:27:34.205300,0.007258803813857232,0.0001457653081308087,5,COMPLETE
68,0.16969883055207868,2025-11-21 08:39:11.817078,2025-11-21 09:07:01.033823,0 days 00:27:49.216745,0.00806552174012842,0.00014282465431219806,5,COMPLETE
69,0.029488063702867023,2025-11-21 08:39:14.737086,2025-11-21 09:07:23.320959,0 days 00:28:08.583873,0.008333825063075012,0.00014693378886497925,5,COMPLETE
70,-0.12244003405788297,2025-11-21 08:39:16.585481,2025-11-21 09:07:16.062662,0 days 00:27:59.477181,0.0072897375082984555,0.00019710177943128382,5,COMPLETE
71,0.04334022297397484,2025-11-21 08:39:18.217346,2025-11-21 09:06:53.222479,0 days 00:27:35.005133,0.008535904874336335,0.00014644352405395657,5,COMPLETE
72,-0.12523539017652738,2025-11-21 08:39:19.010155,2025-11-21 09:07:13.905101,0 days 00:27:54.894946,0.033237183682803186,0.00017302781620508805,5,COMPLETE
73,0.06804263488353803,2025-11-21 08:39:23.624659,2025-11-21 09:06:52.987743,0 days 00:27:29.363084,0.008726369378725443,0.00018173312609051626,5,COMPLETE
