number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
32,-4.58684632202178,2025-12-06 07:42:58.367154,2025-12-06 08:13:41.482825,0 days 00:30:43.115671,0.7048927014183864,0.0030444512079865053,1,1,COMPLETE
33,-3.913144207360213,2025-12-06 07:42:58.514041,2025-12-06 08:13:24.571814,0 days 00:30:26.057773,0.8233354178606472,0.0030122755020599167,3,1,COMPLETE
34,-3.5524501977335485,2025-12-06 07:42:59.685584,2025-12-06 08:13:38.309625,0 days 00:30:38.624041,0.8485065060668742,0.003225701411992434,5,1,COMPLETE
35,-8.93496028807243,2025-12-06 07:43:00.979251,2025-12-06 08:13:26.871990,0 days 00:30:25.892739,0.8644686336594896,0.003310531425823124,9,1,COMPLETE
36,-3.031251905078985,2025-12-06 07:43:02.292320,2025-12-06 08:13:31.942927,0 days 00:30:29.650607,0.7204506433570494,0.0027882547001660245,0,1,COMPLETE
37,-6.7528300689456175,2025-12-06 07:43:03.960494,2025-12-06 08:12:58.864682,0 days 00:29:54.904188,0.8598120095345453,0.003978473936628396,8,1,COMPLETE
38,-4.325264474983989,2025-12-06 07:43:22.878832,2025-12-06 08:13:05.618189,0 days 00:29:42.739357,0.870246938557847,0.0030929065133030263,1,1,COMPLETE
39,-4.213501763440188,2025-12-06 07:43:24.362137,2025-12-06 08:13:23.386513,0 days 00:29:59.024376,0.8107180755060206,0.0029370355619890223,2,1,COMPLETE
40,-5.281510579029399,2025-12-06 07:43:33.923626,2025-12-06 08:13:17.564206,0 days 00:29:43.640580,0.8911972864917018,0.0032843097988340844,3,1,COMPLETE
41,-3.7085012326295748,2025-12-06 07:43:38.397017,2025-12-06 08:13:21.540453,0 days 00:29:43.143436,0.8552506759532441,0.0030989331891703477,2,1,COMPLETE
42,-13.065168941076251,2025-12-06 07:43:50.222734,2025-12-06 08:14:39.297432,0 days 00:30:49.074698,0.8563689991185351,0.0031001433896470803,5,1,COMPLETE
43,-2.8556805181516043,2025-12-06 07:44:04.495008,2025-12-06 08:14:10.589339,0 days 00:30:06.094331,0.7870596945869125,0.003189257615515269,11,1,COMPLETE
44,-7.452432305582467,2025-12-06 07:44:06.793749,2025-12-06 08:14:43.158348,0 days 00:30:36.364599,0.8886093356953969,0.003350416564913285,0,1,COMPLETE
45,-5.8965800618022,2025-12-06 07:44:08.320759,2025-12-06 08:14:43.551667,0 days 00:30:35.230908,0.7031897739973891,0.0030555515059788305,3,1,COMPLETE
46,-4.111954158292884,2025-12-06 07:44:20.234415,2025-12-06 08:14:32.999877,0 days 00:30:12.765462,0.8832539783009496,0.002495153714801179,1,1,COMPLETE
47,-6.0520736221175975,2025-12-06 07:44:21.818492,2025-12-06 08:14:52.352515,0 days 00:30:30.534023,0.8884291784416598,0.002996013017361735,0,1,COMPLETE
48,-5.610024569038489,2025-12-06 07:44:49.981938,2025-12-06 08:14:37.571524,0 days 00:29:47.589586,0.8599743803191694,0.002729013479097166,7,1,COMPLETE
