simseed,sum_turbine_powers,floris_opt,rew,rewbaseline,wdir,ws,TI,FFSeed
1062045062,5832.454450907742,5539.624167258494,5.286103800687391,3.1752596367746975, 90.0,10.0,0.05,1
5977368521,7671.363162172762,7059.080309821911,8.673691550143271,4.473144263567373, 96.0,10.0,0.05,9
2863455514,6285.6490161567945,6470.006889833298,-2.849423143060269,-6.404361608496034, 94.0,10.0,0.05,0
2372294650,5924.879639014647,6010.421851108581,-1.4232314172449665,-2.9096661112010507, 92.0,10.0,0.075,7
4069586955,6912.46035979335,6470.006889833298,6.838531666099225,3.2421783725669604, 94.0,10.0,0.05,1
1942108137,5718.022026962351,5457.454647076945,4.774522130476498,3.061080202311316, 90.0,10.0,0.025,9
3343715171,5806.1447827180555,5539.624167258494,4.811167823167688,3.1752596367746975, 90.0,10.0,0.05,1
241865289,5260.555288417123,5614.557066489893,-6.305070442432692,-9.139299613168989, 90.0,10.0,0.075,4
7089342347,6074.272373881546,5966.225219624581,1.8109801470713442,-0.544083868591025, 92.0,10.0,0.025,5
4846063862,5776.02676477858,5539.624167258494,4.267484406565436,2.6996342442286174, 90.0,10.0,0.05,6
4532930414,5635.8793017122225,5457.454647076945,3.269374940767369,1.1980066761586547, 90.0,10.0,0.025,6
1689819625,5196.352524354195,5539.624167258494,-6.196659422008772,-7.388795658450796, 90.0,10.0,0.05,0
5656914019,6628.700223520744,6556.29705722655,1.1043301678100204,-0.8660908977487626, 94.0,10.0,0.075,5
7577966116,5642.689530100581,5457.454647076945,3.394162572158969,1.6727551773078677, 90.0,10.0,0.025,1
6269361764,5491.932166106457,5457.454647076945,0.6317509032892954,-1.059601293119925, 90.0,10.0,0.025,7
2057150140,5780.4338089205285,5985.203343302533,-3.4212627815083696,-5.400226687092617, 92.0,10.0,0.05,4
6197283637,6726.114582056041,6470.006889833298,3.9583836089136173,0.12676661156237112, 94.0,10.0,0.05,2
1590923220,6017.953955461651,5966.225219624581,0.8670262005349741,-0.9431589375672877, 92.0,10.0,0.025,7
9420485195,5465.305030911992,5539.624167258494,-1.3415916694450034,-2.2642610838702373, 90.0,10.0,0.05,7
3142607961,6242.537131218227,6470.006889833298,-3.5157575948258732,-6.404361608496034, 94.0,10.0,0.05,0
3353251550,6842.276967507591,6435.691033749292,6.317673294540225,2.720383763972246, 94.0,10.0,0.025,9
9539236552,6399.603886485166,6435.691033749292,-0.5607346138104156,-3.2766038726032134, 94.0,10.0,0.025,0
8042080459,5620.235698358963,5457.454647076945,2.982728429437441,1.9709423021463248, 90.0,10.0,0.025,2
3363692656,6568.210757822041,6556.29705722655,0.18171386213135607,-2.5199720440953848, 94.0,10.0,0.075,7
9053515190,6912.868913575152,7134.70228632762,-3.109216949073989,-7.63914174675205, 96.0,10.0,0.075,4
7876510861,5685.27420008911,5614.557066489893,1.2595318341546033,1.0264101522475315, 90.0,10.0,0.075,5
7940883846,5338.073531052247,5457.454647076945,-2.187487093248485,-3.7744457201852217, 90.0,10.0,0.025,0
9232918650,5288.7392345668895,5539.624167258494,-4.5289161343189965,-4.218413655045843, 90.0,10.0,0.05,8
8618134320,5632.604573192818,5457.454647076945,3.2093702548620353,1.8510142892705208, 90.0,10.0,0.025,3
4195609418,6578.395247733912,6470.006889833298,1.6752433149790038,-2.275485203518894, 94.0,10.0,0.05,8
9871519316,5207.129221028633,5539.624167258494,-6.0021210138233885,-7.388795658450796, 90.0,10.0,0.05,0
2613835944,5972.3224178083165,6010.421851108581,-0.633889504664924,-2.9096661112010507, 92.0,10.0,0.075,7
7747349734,6584.355768996776,6010.421851108581,9.54897895864558,7.881558390731796, 92.0,10.0,0.075,3
972785500,7182.609672268261,6969.24198952707,3.0615622626080015,0.1453866016045877, 96.0,10.0,0.025,2
4356181539,6050.118145418758,5614.557066489893,7.7577104261435315,5.920011018145706, 90.0,10.0,0.075,2
5033987376,5813.436425034657,5539.624167258494,4.942794845081887,3.0992824298107307, 90.0,10.0,0.05,2
8860999887,7460.888577487005,6556.29705722655,13.797293081212455,8.623656057436339, 94.0,10.0,0.075,9
8594877043,5930.1932378000365,5539.624167258494,7.050461524988825,7.50259700541913, 90.0,10.0,0.05,9
3121004363,5521.681246272392,5614.557066489893,-1.6541967445985084,-3.206697732613918, 90.0,10.0,0.075,7
60461809,5966.0961870017545,5966.225219624581,-0.0021627179343132997,-0.9431589375672877, 92.0,10.0,0.025,7
6306050302,5759.527842277935,5614.557066489893,2.5820518710779483,1.0264101522475315, 90.0,10.0,0.075,5
5048248793,5213.9685938379625,5614.557066489893,-7.134818791722967,-9.139299613168989, 90.0,10.0,0.075,4
6328040829,6475.4790503387685,6470.006889833298,0.08457735205922046,-4.423864165974618, 94.0,10.0,0.05,4
7149179970,6070.738711657025,5966.225219624581,1.7517523758350653,0.9678329663058476, 92.0,10.0,0.025,6
5941336551,6671.206814963447,6556.29705722655,1.7526624668453603,-3.516052486722331, 94.0,10.0,0.075,8
9890514252,6037.083945943141,5966.225219624581,1.1876642887279192,-1.211947042569466, 92.0,10.0,0.025,8
2310227541,6454.861569215067,6435.691033749292,0.29787843085137733,-2.1163440914970755, 94.0,10.0,0.025,4
8109105720,6577.651874586872,6010.421851108581,9.43744112359882,7.881558390731796, 92.0,10.0,0.075,3
5824099632,6584.292449017468,6556.29705722655,0.4270000511959799,-2.5199720440953848, 94.0,10.0,0.075,7
7114295693,7309.564093744626,7134.70228632762,2.4508634053602716,0.034191075341165666, 96.0,10.0,0.075,2
3999648479,5249.920292746494,5539.624167258494,-5.229666594067364,-6.447029150453316, 90.0,10.0,0.05,4
7181841161,7026.182590805179,6470.006889833298,8.596214972287463,4.98029673774654, 94.0,10.0,0.05,3
1663542937,6309.205813586863,6010.421851108581,4.971098034045202,0.8015607783655891, 92.0,10.0,0.075,1
8240563348,5760.546670637701,5966.225219624581,-3.4473815757129924,-3.701733271821313, 92.0,10.0,0.025,0
7647930734,6852.77800992913,6010.421851108581,14.014925735457032,11.336849669617251, 92.0,10.0,0.075,9
5759671436,5814.558620028476,5966.225219624581,-2.5420863948821606,-3.701733271821313, 92.0,10.0,0.025,0
6938699807,5912.357777738447,5614.557066489893,5.304082008996888,5.3076050005313125, 90.0,10.0,0.075,3
3385550638,7181.249168744034,6556.29705722655,9.53208962410638,4.631379403140836, 94.0,10.0,0.075,1
