number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
35,-0.9546485484161503,2025-12-06 07:45:48.455223,2025-12-06 08:18:58.933761,0 days 00:33:10.478538,0.07534177438604583,1.0672655457267803e-06,1,21,COMPLETE
36,-1.1032561808579628,2025-12-06 07:45:50.685723,2025-12-06 08:18:26.188299,0 days 00:32:35.502576,0.058991864882712436,1.0462051281670413e-06,1,21,COMPLETE
37,-0.8222172705433611,2025-12-06 07:45:53.392903,2025-12-06 08:18:10.870548,0 days 00:32:17.477645,0.0631982459627557,1.0419530445891619e-06,1,21,COMPLETE
38,-0.8293516229780971,2025-12-06 07:46:04.481208,2025-12-06 08:19:55.482171,0 days 00:33:51.000963,0.06878632164086569,1.2180602473715495e-06,1,21,COMPLETE
39,-0.21042298588526034,2025-12-06 07:46:12.056816,2025-12-06 08:20:33.208274,0 days 00:34:21.151458,0.061328690954411826,1.1679797688542467e-06,1,21,COMPLETE
40,-0.3880062319518155,2025-12-06 07:46:46.183682,2025-12-06 08:19:44.743349,0 days 00:32:58.559667,0.0697395078797771,1.1725132355876753e-06,1,21,COMPLETE
41,-0.26652465191918784,2025-12-06 07:46:48.797194,2025-12-06 08:20:30.278797,0 days 00:33:41.481603,0.0696011673144392,1.292855544174559e-06,1,21,COMPLETE
42,-0.5108778124954431,2025-12-06 07:46:51.682946,2025-12-06 08:19:56.043568,0 days 00:33:04.360622,0.07280719580821189,1.180214819804414e-06,1,21,COMPLETE
43,-0.5049361276516632,2025-12-06 07:47:02.546437,2025-12-06 08:20:11.271314,0 days 00:33:08.724877,0.07115228888346307,1.1798124279741838e-06,1,21,COMPLETE
44,-1.118534859787774,2025-12-06 07:47:10.321543,2025-12-06 08:19:52.225036,0 days 00:32:41.903493,0.0669821536700799,1.135550823066318e-06,1,21,COMPLETE
45,-0.5326432548421051,2025-12-06 07:47:20.849662,2025-12-06 08:20:18.797988,0 days 00:32:57.948326,0.06790992587748844,1.2347134555867575e-06,1,21,COMPLETE
46,-0.46980225371938117,2025-12-06 07:47:34.419884,2025-12-06 08:20:19.984771,0 days 00:32:45.564887,0.005551588908089427,1.046274431693342e-06,1,21,COMPLETE
47,-0.6532599135293854,2025-12-06 07:47:41.510977,2025-12-06 08:19:51.882543,0 days 00:32:10.371566,0.06951452753777745,1.130429884681714e-06,1,21,COMPLETE
48,-0.7630168721489683,2025-12-06 07:47:42.035236,2025-12-06 08:19:46.744454,0 days 00:32:04.709218,0.06301771953167647,1.2289053330888073e-06,1,21,COMPLETE
49,-0.8177278043479626,2025-12-06 07:47:55.683424,2025-12-06 08:20:11.408296,0 days 00:32:15.724872,0.069417888384879,1.2249799634773867e-06,1,21,COMPLETE
50,-0.3297206007515589,2025-12-06 08:00:32.473939,2025-12-06 08:20:28.357274,0 days 00:19:55.883335,0.005383034255827338,1.1729897795460225e-06,1,21,COMPLETE
51,-1.2401125367357535,2025-12-06 08:15:36.169593,2025-12-06 08:25:16.159091,0 days 00:09:39.989498,0.005864783613705592,1.9748560071679443e-06,1,11,COMPLETE
52,-0.4521158373320449,2025-12-06 08:16:05.227831,2025-12-06 08:25:39.015657,0 days 00:09:33.787826,0.006010518315464243,1.9417004609307325e-06,1,11,COMPLETE
53,-0.32148297932941666,2025-12-06 08:18:05.984310,2025-12-06 08:43:11.948896,0 days 00:25:05.964586,0.8960118661566607,2.5776505867486636e-06,1,11,COMPLETE
54,-0.08237273897148206,2025-12-06 08:18:10.872566,2025-12-06 08:43:25.038398,0 days 00:25:14.165832,0.10889795202509682,2.4339882007222488e-06,1,11,COMPLETE
55,-0.3646707477176673,2025-12-06 08:18:11.373137,2025-12-06 08:43:45.372155,0 days 00:25:33.999018,0.11899111404886521,2.565987419430315e-06,1,11,COMPLETE
56,-0.19720087377098236,2025-12-06 08:18:26.193633,2025-12-06 08:43:27.022280,0 days 00:25:00.828647,0.01832292878067288,2.3341974196497108e-06,1,11,COMPLETE
57,-0.9184586922561323,2025-12-06 08:18:26.899884,2025-12-06 08:43:22.395390,0 days 00:24:55.495506,0.12116903330414083,2.2053761105134257e-06,1,11,COMPLETE
58,-0.44232538354058865,2025-12-06 08:18:29.356659,2025-12-06 08:43:13.894386,0 days 00:24:44.537727,0.02148112470040118,2.3151469309118135e-06,1,11,COMPLETE
59,-0.015269875816971073,2025-12-06 08:18:45.415525,2025-12-06 08:48:45.599552,0 days 00:30:00.184027,0.02058821122972676,2.7148172172649476e-06,1,11,COMPLETE
60,-0.1497662869152935,2025-12-06 08:18:50.150232,2025-12-06 08:48:36.723602,0 days 00:29:46.573370,0.019171001832615157,2.2527796073774058e-06,1,11,COMPLETE
61,-0.2261569086867916,2025-12-06 08:18:58.936239,2025-12-06 08:48:42.770772,0 days 00:29:43.834533,0.11731788602942708,2.37459456653625e-06,1,11,COMPLETE
62,-0.24360840702767048,2025-12-06 08:19:01.641612,2025-12-06 08:48:06.024343,0 days 00:29:04.382731,0.021768875992330638,2.3973828885732904e-06,1,11,COMPLETE
63,-0.7980247121072105,2025-12-06 08:19:44.745473,2025-12-06 08:50:33.453056,0 days 00:30:48.707583,0.11195823687257173,2.298627268193343e-06,1,11,COMPLETE
64,-0.9671403580919276,2025-12-06 08:19:46.745588,2025-12-06 08:50:06.379022,0 days 00:30:19.633434,0.12582382678482398,2.716660754440719e-06,1,11,COMPLETE
65,-0.640978221618715,2025-12-06 08:19:51.884425,2025-12-06 08:50:18.926376,0 days 00:30:27.041951,0.01914935666560014,2.596564961171811e-06,1,11,COMPLETE
66,-0.2707904352398751,2025-12-06 08:19:52.226270,2025-12-06 08:49:33.338651,0 days 00:29:41.112381,0.1179171636880017,2.3316740360565885e-06,1,11,COMPLETE
67,-0.6936194702465593,2025-12-06 08:19:55.483900,2025-12-06 08:50:08.747569,0 days 00:30:13.263669,0.12473365244306929,2.731124670076683e-06,1,11,COMPLETE
68,-1.0044123342423457,2025-12-06 08:19:56.044643,2025-12-06 08:50:30.469651,0 days 00:30:34.425008,0.10862717448529333,2.4766973177937714e-06,1,11,COMPLETE
69,-1.0771479305109457,2025-12-06 08:20:11.273612,2025-12-06 08:50:25.245493,0 days 00:30:13.971881,0.12429217471280846,2.6081932375038328e-06,1,11,COMPLETE
70,-0.4387313662866064,2025-12-06 08:20:11.409401,2025-12-06 08:50:00.490958,0 days 00:29:49.081557,0.12084255917405563,2.6997864619171502e-06,1,11,COMPLETE
71,-0.3897686755838465,2025-12-06 08:20:18.799676,2025-12-06 08:49:50.026414,0 days 00:29:31.226738,0.13787976862689155,2.382147819876074e-06,1,11,COMPLETE
72,-0.21725454232414723,2025-12-06 08:20:19.987017,2025-12-06 08:49:39.906979,0 days 00:29:19.919962,0.02092800453358437,2.5191870436933537e-06,1,11,COMPLETE
73,-0.972019298764108,2025-12-06 08:20:28.360357,2025-12-06 08:50:24.217806,0 days 00:29:55.857449,0.11244083775715862,2.224449192605452e-06,1,11,COMPLETE
74,-0.37419366046122066,2025-12-06 08:20:30.280515,2025-12-06 08:49:24.472065,0 days 00:28:54.191550,0.02005166950494223,2.5686444430969847e-06,1,11,COMPLETE
75,-0.7168171310540321,2025-12-06 08:20:33.209897,2025-12-06 08:50:35.318969,0 days 00:30:02.109072,0.8982974197703246,2.695896180782325e-06,1,11,COMPLETE
76,-0.7648415555571221,2025-12-06 08:25:16.160790,2025-12-06 08:50:51.685727,0 days 00:25:35.524937,0.11672366419365092,2.533425316300639e-06,1,11,COMPLETE
77,-0.8405026003544755,2025-12-06 08:25:39.017197,2025-12-06 08:50:24.210046,0 days 00:24:45.192849,0.11803194537318892,2.566576472339744e-06,1,11,COMPLETE
78,-0.4048787735222463,2025-12-06 08:43:11.951480,2025-12-06 08:54:27.724749,0 days 00:11:15.773269,0.04220545566907961,1.379079267237487e-05,1,11,COMPLETE
79,-0.9115225369545846,2025-12-06 08:43:13.895595,2025-12-06 08:54:44.225241,0 days 00:11:30.329646,0.03366014460041884,4.7296241440758255e-06,1,11,COMPLETE
80,-1.256914860767382,2025-12-06 08:43:22.397424,2025-12-06 08:54:39.122905,0 days 00:11:16.725481,0.04170719153339269,1.3439190499156586e-05,1,11,COMPLETE
81,-1.19211392263445,2025-12-06 08:43:25.039838,2025-12-06 08:54:34.955149,0 days 00:11:09.915311,0.03856610922444753,1.5528870463863246e-05,1,11,COMPLETE
82,-1.331535290020041,2025-12-06 08:43:27.023870,2025-12-06 08:54:35.032708,0 days 00:11:08.008838,0.036445222734005925,1.1839645826358592e-05,1,11,COMPLETE
83,-1.0581051897502958,2025-12-06 08:43:45.374384,2025-12-06 08:55:00.460373,0 days 00:11:15.085989,0.041637030607514294,1.4261547788347194e-05,1,11,COMPLETE
84,-0.43954274461557075,2025-12-06 08:48:06.026696,2025-12-06 08:59:07.870166,0 days 00:11:01.843470,0.03699798996574954,4.796054626962578e-06,1,11,COMPLETE
85,0.08413693651529465,2025-12-06 08:48:36.725880,2025-12-06 08:59:04.347627,0 days 00:10:27.621747,0.04054869130353426,1.0251766910131253e-05,1,11,COMPLETE
86,-0.8863321181525333,2025-12-06 08:48:42.772671,2025-12-06 08:59:08.132883,0 days 00:10:25.360212,0.03975849874651439,1.2257822707515176e-05,1,11,COMPLETE
87,-4.65832191405424,2025-12-06 08:48:45.601005,2025-12-06 08:59:28.370026,0 days 00:10:42.769021,0.04003358164956394,0.0009603812203977633,1,11,COMPLETE
88,-0.5329438927372071,2025-12-06 08:49:24.474234,2025-12-06 08:59:33.953594,0 days 00:10:09.479360,0.03569226128193709,1.0151507355681237e-05,1,11,COMPLETE
89,-0.7600870578734559,2025-12-06 08:49:33.342892,2025-12-06 08:59:54.503359,0 days 00:10:21.160467,0.036926478221593534,1.2253662789046968e-05,1,11,COMPLETE
90,-0.6412618940724242,2025-12-06 08:49:39.908865,2025-12-06 09:00:12.972758,0 days 00:10:33.063893,0.013715440842402542,1.3425813158535079e-05,1,11,COMPLETE
91,-1.0119563028128105,2025-12-06 08:49:50.029676,2025-12-06 09:00:19.121290,0 days 00:10:29.091614,0.04241452601294124,4.844701962788815e-06,1,11,COMPLETE
92,-0.48966836307307016,2025-12-06 08:50:00.494087,2025-12-06 09:00:34.317515,0 days 00:10:33.823428,0.0398778560315572,4.01501318850271e-06,1,11,COMPLETE
93,-0.22703348014863584,2025-12-06 08:50:06.380675,2025-12-06 09:02:19.442888,0 days 00:12:13.062213,0.03715618742644186,4.642813186431601e-06,1,21,COMPLETE
94,-0.5176476682137953,2025-12-06 08:50:08.751379,2025-12-06 09:02:37.300346,0 days 00:12:28.548967,0.03899058576294132,1.0251736922572083e-05,1,21,COMPLETE
95,-0.6409627207593888,2025-12-06 08:50:18.928574,2025-12-06 09:02:56.688668,0 days 00:12:37.760094,0.042068085533446944,4.4061939221061206e-06,1,21,COMPLETE
96,-0.01264493203022635,2025-12-06 08:50:24.211403,2025-12-06 09:02:36.603402,0 days 00:12:12.391999,0.035542384885728986,4.520748252504936e-06,1,21,COMPLETE
97,-0.6701801871200355,2025-12-06 08:50:24.218986,2025-12-06 09:02:34.267763,0 days 00:12:10.048777,0.034029039835819716,5.217508983425955e-06,1,21,COMPLETE
98,-0.33451709319004297,2025-12-06 08:50:25.247427,2025-12-06 09:02:18.569368,0 days 00:11:53.321941,0.03936932946732005,1.0993258712185192e-05,1,21,COMPLETE
99,-0.7039075129892827,2025-12-06 08:50:30.471763,2025-12-06 09:02:44.500005,0 days 00:12:14.028242,0.03748687092032679,4.906391839050338e-06,1,21,COMPLETE
