number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
32,-0.010790342689064971,2025-11-21 13:51:52.289490,2025-11-21 14:52:03.140628,0 days 01:00:10.851138,0.0012191001223327744,1.1051715768442726e-05,1,COMPLETE
33,-0.3151399368414145,2025-11-21 13:51:52.691760,2025-11-21 14:51:37.195828,0 days 00:59:44.504068,0.0010262221182436308,1.2888846529087084e-05,1,COMPLETE
34,-0.6814868126702064,2025-11-21 13:51:54.532666,2025-11-21 14:51:54.770419,0 days 01:00:00.237753,0.0010909111340583978,1.170599397412671e-05,1,COMPLETE
35,-0.022215539468731088,2025-11-21 13:51:55.251467,2025-11-21 14:51:53.079785,0 days 00:59:57.828318,0.013805575520162013,1.1450267406609682e-05,1,COMPLETE
36,0.24712333305791578,2025-11-21 13:51:59.385711,2025-11-21 14:51:45.910575,0 days 00:59:46.524864,0.0011060036241600868,1.3014647828448063e-05,1,COMPLETE
37,-0.24897245826853226,2025-11-21 13:51:59.797803,2025-11-21 14:51:58.851434,0 days 00:59:59.053631,0.0010085108950010932,1.2614320329058246e-05,1,COMPLETE
38,-0.35760008853196024,2025-11-21 13:52:06.133760,2025-11-21 14:51:42.966061,0 days 00:59:36.832301,0.0010170967044054787,1.1465406678769893e-05,1,COMPLETE
39,-0.1849445920992404,2025-11-21 13:52:12.705819,2025-11-21 14:51:42.784109,0 days 00:59:30.078290,0.0010237255001288538,1.081717524743633e-05,1,COMPLETE
40,0.22748886214588196,2025-11-21 13:52:29.883643,2025-11-21 14:53:04.862968,0 days 01:00:34.979325,0.014173516771696967,5.457834926778546e-05,1,COMPLETE
41,0.658930132839675,2025-11-21 13:52:43.274454,2025-11-21 14:52:52.715963,0 days 01:00:09.441509,0.015230686242689057,4.7083500157597735e-05,1,COMPLETE
42,-0.017206524028394413,2025-11-21 13:52:44.859002,2025-11-21 14:52:55.927423,0 days 01:00:11.068421,0.015418827845649097,6.217685834593985e-05,1,COMPLETE
43,-0.2797452898444729,2025-11-21 13:53:03.907414,2025-11-21 14:52:55.574609,0 days 00:59:51.667195,0.015863553320267013,4.554819048071392e-05,1,COMPLETE
44,-0.06914310847165255,2025-11-21 13:53:04.891383,2025-11-21 14:52:49.451353,0 days 00:59:44.559970,0.013807741390643148,5.632091077693306e-05,1,COMPLETE
45,0.16121200442156725,2025-11-21 13:53:17.179200,2025-11-21 14:53:00.322436,0 days 00:59:43.143236,0.013024527601946114,5.5844127856427874e-05,1,COMPLETE
46,-0.06359335917229063,2025-11-21 13:53:17.442080,2025-11-21 14:52:55.431271,0 days 00:59:37.989191,0.014405587976227381,4.762237726830899e-05,1,COMPLETE
47,0.6469225952975521,2025-11-21 13:53:19.300043,2025-11-21 14:52:54.982470,0 days 00:59:35.682427,0.012345676664402208,4.8495484174277605e-05,1,COMPLETE
48,0.14549310939360963,2025-11-21 13:53:19.874932,2025-11-21 14:52:30.822805,0 days 00:59:10.947873,0.014220895342918089,5.660730357641714e-05,1,COMPLETE
49,-0.608479981884042,2025-11-21 13:53:26.480590,2025-11-21 14:53:05.503260,0 days 00:59:39.022670,0.014701037706032526,5.4543897444960884e-05,1,COMPLETE
50,0.032045652007125634,2025-11-21 14:43:43.120841,2025-11-21 14:53:37.184545,0 days 00:09:54.063704,0.014892557345651848,4.901463469376434e-05,1,COMPLETE
51,0.19560788580636324,2025-11-21 14:48:01.863905,2025-11-21 14:56:27.548453,0 days 00:08:25.684548,0.01545732641149359,5.241379088348594e-05,1,COMPLETE
52,0.060699500404858116,2025-11-21 14:51:32.844574,2025-11-21 15:50:37.075646,0 days 00:59:04.231072,0.002930172270925521,1.9434400250140134e-05,11,COMPLETE
53,-0.026367167748276195,2025-11-21 14:51:34.899520,2025-11-21 15:50:50.543783,0 days 00:59:15.644263,0.007764550830611815,1.9277940726627383e-05,11,COMPLETE
54,-0.01838006339526916,2025-11-21 14:51:37.197736,2025-11-21 15:50:55.666498,0 days 00:59:18.468762,0.024149519639697983,2.130130264442735e-05,11,COMPLETE
55,0.3066401672821332,2025-11-21 14:51:39.693439,2025-11-21 15:50:28.366621,0 days 00:58:48.673182,0.007408036869191336,2.0569543610034617e-05,11,COMPLETE
56,0.5138108765061046,2025-11-21 14:51:42.785814,2025-11-21 15:50:31.526921,0 days 00:58:48.741107,0.007764902738546461,2.4529589418624614e-05,11,COMPLETE
57,0.5465729402051351,2025-11-21 14:51:42.967213,2025-11-21 15:50:59.737009,0 days 00:59:16.769796,0.021856397327630304,1.9480353094719333e-05,11,COMPLETE
58,-0.259579895575038,2025-11-21 14:51:45.819346,2025-11-21 15:50:40.966985,0 days 00:58:55.147639,0.025248108072824255,2.052040234874738e-05,11,COMPLETE
59,0.2554045094536365,2025-11-21 14:51:45.911967,2025-11-21 15:50:25.251867,0 days 00:58:39.339900,0.02482784736218525,1.981224032296392e-05,11,COMPLETE
60,0.22775239016566506,2025-11-21 14:51:53.082179,2025-11-21 15:50:11.070225,0 days 00:58:17.988046,0.02608268046687429,1.9925556869426165e-05,11,COMPLETE
61,0.5496415772790424,2025-11-21 14:51:54.772407,2025-11-21 15:50:52.727825,0 days 00:58:57.955418,0.02375578248242451,2.034485429671801e-05,11,COMPLETE
62,-0.16154546209364704,2025-11-21 14:51:58.852602,2025-11-21 15:50:48.925100,0 days 00:58:50.072498,0.008185338813520144,2.0844090807712565e-05,11,COMPLETE
63,-0.1059474522236192,2025-11-21 14:52:02.549515,2025-11-21 15:52:25.375028,0 days 01:00:22.825513,0.007758221139268928,2.0575105805870706e-05,11,COMPLETE
64,-0.40816645903868254,2025-11-21 14:52:03.142061,2025-11-21 15:53:04.698500,0 days 01:01:01.556439,0.02516891238168629,2.0069306995998803e-05,11,COMPLETE
65,0.033803650505005896,2025-11-21 14:52:30.824638,2025-11-21 15:52:43.267711,0 days 01:00:12.443073,0.02581392035527931,1.9722238110138254e-05,11,COMPLETE
66,-0.5801132183999071,2025-11-21 14:52:49.453300,2025-11-21 15:52:47.355518,0 days 00:59:57.902218,0.022971261932332964,2.1717143906933193e-05,11,COMPLETE
67,0.12050287349796684,2025-11-21 14:52:52.718336,2025-11-21 15:53:13.986579,0 days 01:00:21.268243,0.02428674710258612,1.9742430558254033e-05,11,COMPLETE
68,0.4622323140794915,2025-11-21 14:52:54.983891,2025-11-21 15:52:53.546976,0 days 00:59:58.563085,0.0240070959235563,2.043291010676526e-05,11,COMPLETE
69,-0.2635641664386766,2025-11-21 14:52:55.432846,2025-11-21 15:52:34.486161,0 days 00:59:39.053315,0.022676720572197842,2.0332777784817998e-05,11,COMPLETE
70,0.1861087108543734,2025-11-21 14:52:55.575670,2025-11-21 15:53:04.117021,0 days 01:00:08.541351,0.027690838468515038,2.1870915236129877e-05,11,COMPLETE
71,-0.23219740019808224,2025-11-21 14:52:55.928685,2025-11-21 15:52:41.629020,0 days 00:59:45.700335,0.024688586571968908,1.8959435583878973e-05,11,COMPLETE
72,0.16791275996363636,2025-11-21 14:53:00.324279,2025-11-21 15:52:46.638885,0 days 00:59:46.314606,0.0262383799406142,2.0471327491994827e-05,11,COMPLETE
73,0.14900159047111505,2025-11-21 14:53:04.864531,2025-11-21 15:53:20.903300,0 days 01:00:16.038769,0.025428394203883615,2.0370837437118487e-05,11,COMPLETE
74,-0.47339277580100003,2025-11-21 14:53:05.504352,2025-11-21 15:52:44.728260,0 days 00:59:39.223908,0.024366532973466942,0.00012569651007692868,11,COMPLETE
75,-0.20515853944113577,2025-11-21 14:53:37.186506,2025-11-21 15:52:52.453242,0 days 00:59:15.266736,0.024213450164268357,1.933579955347038e-05,11,COMPLETE
76,-0.5051591843127186,2025-11-21 14:56:27.550182,2025-11-21 15:52:58.802213,0 days 00:56:31.252031,0.02443116332203631,3.448413866486638e-05,11,COMPLETE
77,-0.15872510524348463,2025-11-21 15:50:11.074818,2025-11-21 16:29:33.726234,0 days 00:39:22.651416,0.00991630798127286,8.302220657004261e-06,21,COMPLETE
78,0.24817087841094224,2025-11-21 15:50:25.255422,2025-11-21 16:28:58.469672,0 days 00:38:33.214250,0.010220109258659337,7.208152468311649e-06,21,COMPLETE
79,0.09967001818859163,2025-11-21 15:50:28.368396,2025-11-21 16:28:57.511484,0 days 00:38:29.143088,0.035783983718813306,7.857678388953336e-06,21,COMPLETE
80,-0.19284866608060416,2025-11-21 15:50:31.528111,2025-11-21 16:29:17.707517,0 days 00:38:46.179406,0.036975726510377435,8.188046212162821e-06,21,COMPLETE
81,0.3233186230373515,2025-11-21 15:50:37.077416,2025-11-21 16:30:12.682233,0 days 00:39:35.604817,0.011085320267022598,3.052696726452408e-05,21,COMPLETE
82,-0.12026694870001452,2025-11-21 15:50:40.968146,2025-11-21 16:29:32.623422,0 days 00:38:51.655276,0.010757447095062742,7.203243659319185e-06,21,COMPLETE
