--------------TurbSim v2.00.* User Time Series Input File-----------------------
     Time series input from low-res turbsim run
--------------------------------------------------------------------------------
          3 nComp - Number of velocity components in the file
          1 nPoints - Number of time series points contained in this file (-)
          1 RefPtID - Index of the reference point (1-nPoints)
     Pointyi Pointzi ! nPoints listed in order of increasing height
       (m)     (m)
       0.69425   94.00000
--------Time Series-------------------------------------------------------------
Elapsed Time         Point01u             Point01v           Point01w
         (s)            (m/s)                (m/s)              (m/s)
	0.00			  10.27658			  0.00171			 -0.02694
	0.25			  10.31458			  0.01091			 -0.02741
	0.50			  10.24701			  0.02453			 -0.11637
	0.75			  10.18868			  -0.25161			 -0.18536
	1.00			  10.23911			  -0.26633			 -0.01743
	1.25			  10.24905			  -0.38646			 -0.01018
	1.50			  10.21665			  -0.53198			 -0.03991
	1.75			  10.03038			  -0.46299			 0.00738
	2.00			  10.17456			  -0.32391			 -0.17880
	2.25			  10.18975			  -0.53823			 -0.24376
	2.50			  10.08818			  -0.74189			 -0.19970
	2.75			  10.05195			  -0.66756			 -0.20306
	3.00			  10.09777			  -0.62065			 -0.03717
	3.25			  10.22704			  -0.65800			 0.07234
	3.50			  10.17909			  -0.77979			 0.15150
	3.75			  10.25598			  -0.62544			 0.24335
	4.00			  10.37868			  -0.59379			 0.34503
	4.25			  10.26024			  -0.50126			 0.20915
	4.50			  10.32017			  -0.34102			 0.18707
	4.75			  10.20280			  -0.40265			 -0.02996
	5.00			  10.12822			  -0.01116			 -0.17007
	5.25			  10.20013			  -0.04097			 -0.11991
	5.50			  10.26104			  -0.00049			 -0.14709
	5.75			  10.17501			  -0.07371			 -0.28334
	6.00			  10.00294			  0.03648			 -0.31838
	6.25			  10.03118			  0.07438			 -0.24873
	6.50			  10.10309			  0.14300			 -0.19295
	6.75			  10.18025			  0.05175			 -0.22821
	7.00			  9.99309			  -0.05476			 -0.17616
	7.25			  9.71821			  -0.17379			 -0.15265
	7.50			  9.67471			  0.00245			 -0.16357
	7.75			  9.86311			  0.09076			 -0.09327
	8.00			  9.92046			  -0.00196			 -0.07946
	8.25			  9.93431			  0.04329			 -0.15866
	8.50			  9.97072			  0.22542			 -0.22778
	8.75			  9.89143			  0.25706			 -0.13931
	9.00			  9.95127			  0.29183			 -0.19864
	9.25			  10.01209			  0.34518			 -0.14190
	9.50			  10.16844			  0.38658			 -0.10959
	9.75			  10.17456			  0.33341			 -0.05353
	10.00			  10.22526			  0.39743			 -0.01721
	10.25			  10.39262			  0.31814			 -0.05039
	10.50			  10.63234			  0.40074			 0.14619
	10.75			  10.61263			  0.34758			 0.07853
	11.00			  10.58856			  0.29202			 0.12884
	11.25			  10.54364			  0.09076			 0.11270
	11.50			  10.44260			  0.03005			 -0.20243
	11.75			  10.42325			  -0.06304			 -0.02940
	12.00			  10.40061			  -0.16864			 0.00141
	12.25			  10.40949			  -0.16441			 0.12626
	12.50			  10.35932			  -0.19642			 0.07682
	12.75			  10.25003			  -0.29448			 0.04644
	13.00			  10.31617			  -0.10719			 0.25243
	13.25			  10.27720			  -0.18023			 0.36403
	13.50			  10.14242			  -0.32373			 0.27236
	13.75			  10.20830			  -0.13681			 0.08344
	14.00			  10.26646			  -0.21187			 0.09784
	14.25			  10.37824			  -0.29374			 0.06615
	14.50			  10.39111			  -0.26320			 0.21130
	14.75			  10.33526			  -0.25547			 0.11913
	15.00			  10.17208			  -0.18851			 0.30616
	15.25			  10.22588			  -0.00049			 0.25194
	15.50			  10.20298			  -0.00013			 0.29640
	15.75			  10.22819			  -0.13148			 0.18630
	16.00			  10.24062			  -0.28325			 0.18101
	16.25			  10.17865			  -0.04465			 0.03807
	16.50			  10.10398			  0.16398			 0.10934
	16.75			  10.14749			  0.19083			 0.36170
	17.00			  10.17084			  0.10032			 0.13341
	17.25			  10.21212			  -0.02478			 0.01606
	17.50			  10.25722			  -0.04023			 0.07610
	17.75			  10.30392			  -0.07482			 0.14864
	18.00			  10.26974			  -0.14436			 0.08235
	18.25			  10.11437			  -0.15631			 -0.13453
	18.50			  10.14127			  -0.10168			 -0.13760
	18.75			  10.14491			  -0.03876			 -0.03605
	19.00			  10.24719			  -0.03747			 -0.10897
	19.25			  10.04006			  0.18164			 -0.36064
	19.50			  10.12236			  0.25541			 -0.27858
	19.75			  10.13133			  0.20077			 -0.31157
	20.00			  10.26433			  0.41270			 -0.32743
	20.25			  10.22855			  0.30857			 -0.27709
	20.50			  10.26992			  0.40111			 -0.32678
	20.75			  10.33118			  0.48114			 -0.08804
	21.00			  10.28004			  0.36229			 -0.10007
	21.25			  10.19276			  0.31925			 -0.10465
	21.50			  10.21940			  0.31336			 -0.28841
	21.75			  10.32665			  0.55785			 -0.15685
	22.00			  10.47519			  0.83841			 -0.16347
	22.25			  10.41402			  0.59244			 -0.12747
	22.50			  10.39661			  0.42116			 -0.10067
	22.75			  10.24009			  0.40921			 -0.05443
	23.00			  10.34689			  0.63015			 -0.12047
	23.25			  10.36154			  0.55473			 0.05642
	23.50			  10.24222			  0.61470			 -0.00972
	23.75			  10.48149			  0.46624			 0.14373
	24.00			  10.47137			  0.39338			 0.07961
	24.25			  10.44624			  0.33194			 0.00300
	24.50			  10.37744			  0.18237			 0.19653
	24.75			  10.27320			  0.25559			 0.15912
	25.00			  10.11428			  0.28503			 0.01998
	25.25			  10.15698			  0.07365			 -0.01149
	25.50			  10.19765			  -0.03434			 0.12507
	25.75			  10.09271			  -0.03582			 -0.02996
	26.00			  10.01679			  -0.18759			 0.06649
	26.25			  10.21967			  -0.19384			 0.13048
